Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Lucas Abascia,ar ARG,DF,cl Ñublense,27,1995,1.3,0,0,0,1,1,0,0,4,3,0,0,0,8,5,2,71.4,Matches
2,Miguel Acosta,ar ARG,GK,ar Arg Juniors,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
3,Luiz Adriano,br BRA,FW,br Internacional,35,1987,4.4,0,0,0,3,5,4,0,0,1,0,0,0,7,3,17,15.0,Matches
4,Adson,br BRA,"MF,FW",br Corinthians,22,2000,3.1,0,0,0,0,8,0,6,1,4,0,0,0,17,0,5,0.0,Matches
5,Luis Advíncula,pe PER,"DF,FW",ar Boca Juniors,32,1990,12.1,2,0,0,7,17,1,37,5,14,0,0,0,62,13,11,54.2,Matches
6,Carlos Aguinaga,pe PER,MF,pe Melgar,20,2002,0.3,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,100.0,Matches
7,Darío Aimar,ec ECU,DF,ec SD Aucas,28,1995,1.2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0.0,Matches
8,Kevin Aladesanmi,co COL,"MF,FW",co Pereira,24,1998,0.7,0,0,0,4,0,2,0,1,0,0,0,0,7,7,6,53.8,Matches
9,Jostin Alarcón,pe PER,MF,pe Sporting Cristal,20,2002,2.3,0,0,0,5,4,0,2,2,3,0,0,0,10,0,1,0.0,Matches
10,Yuri Alberto,br BRA,FW,br Corinthians,21,2001,4.5,1,0,0,4,1,7,1,0,2,0,0,0,9,6,10,37.5,Matches
11,Adrián Alcaraz,py PAR,FW,py Libertad,23,1999,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,28.6,Matches
12,Antolín Alcaraz,py PAR,DF,py Olimpia,40,1982,1.1,0,0,0,0,0,0,0,2,0,0,0,0,9,3,2,60.0,Matches
13,Jordy Alcivar,ec ECU,MF,ec Independiente,23,1999,5.2,0,0,0,1,7,1,16,6,3,0,0,0,33,2,5,28.6,Matches
14,Christian Alemán,ec ECU,DF,ec SD Aucas,26,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
15,Alexandre Alemão,br BRA,FW,br Internacional,24,1998,1.8,0,0,0,1,3,0,1,0,2,0,0,0,7,6,5,54.5,Matches
16,Jhonny Alexander Vásquez,co COL,"MF,DF",co Pereira,35,1987,6.7,3,0,0,6,8,1,0,8,6,0,1,0,39,8,5,61.5,Matches
17,Alexsander,br BRA,MF,br Fluminense,19,2003,4.5,1,0,0,10,6,0,4,6,7,0,0,0,24,1,4,20.0,Matches
18,Carmelo Algarañaz,bo BOL,"FW,MF",bo Bolívar,27,1996,2.2,0,0,0,5,2,0,0,1,1,0,0,0,4,0,4,0.0,Matches
19,Rodrigo Aliendro,ar ARG,MF,ar River Plate,31,1991,7.8,1,0,0,6,21,1,1,16,14,0,0,0,62,14,18,43.8,Matches
20,Allan,br BRA,MF,br Flamengo,25,1997,1.0,1,0,0,1,2,0,0,2,0,0,0,0,4,2,2,50.0,Matches
21,Christian Almeida,uy URU,DF,uy Nacional,33,1989,1.3,0,0,0,2,1,0,1,3,1,0,0,0,7,5,2,71.4,Matches
22,Agustín Almendra,ar ARG,MF,ar Racing Club,22,2000,0.6,1,0,0,1,3,0,0,0,1,0,0,0,5,1,1,50.0,Matches
23,Jaime Alvarado,co COL,MF,co Independiente,23,1999,5.7,2,0,0,7,4,0,2,5,9,0,0,0,58,7,6,53.8,Matches
24,Pedro Álvarez,py PAR,"DF,MF",py Cerro Porteño,21,2001,1.4,0,0,0,2,0,0,0,1,1,0,1,0,5,1,3,25.0,Matches
25,Iván Anderson,pa PAN,"DF,MF",ve Monagas,25,1997,5.0,1,0,0,13,4,1,14,5,7,0,0,0,38,10,9,52.6,Matches
26,Andrés Andrade,co COL,"FW,MF",pe Alianza Lima,33,1989,2.0,2,0,0,8,4,0,9,0,2,0,1,0,9,0,1,0.0,Matches
27,André,br BRA,MF,br Fluminense,21,2001,12.7,2,0,0,19,25,0,1,16,26,0,1,0,107,5,4,55.6,Matches
28,Carlos Andrés Ramírez,co COL,DF,co Pereira,34,1988,6.6,2,0,0,1,3,0,7,5,3,0,0,0,18,8,6,57.1,Matches
29,Tomas Ángel,co COL,"FW,MF",co Nacional,19,2003,2.6,0,0,0,1,1,1,0,1,0,0,0,0,2,0,3,0.0,Matches
30,Miguel Ángel Torrén,ar ARG,DF,ar Arg Juniors,34,1988,4.8,0,0,0,3,3,0,1,5,3,0,0,0,36,4,3,57.1,Matches
31,Wilker Ángel,ve VEN,DF,ec SD Aucas,29,1993,3.8,1,0,0,6,2,0,0,3,4,0,0,1,13,4,3,57.1,Matches
32,Álvaro Angulo,co COL,DF,co Nacional,25,1997,2.2,0,0,0,1,1,0,5,6,1,0,0,0,9,1,2,33.3,Matches
33,Larry Angulo,co COL,MF,co Pereira,27,1995,2.7,2,0,0,5,2,1,2,3,6,0,0,0,9,2,2,50.0,Matches
34,Luis Annese,ve VEN,"FW,MF",ve Metropolitanos,30,1992,0.2,1,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0.0,Matches
35,Irwin Antón,ve VEN,MF,ve Metropolitanos,35,1988,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
36,Mateo Antoni,uy URU,"DF,MF",uy Liverpool,19,2003,1.3,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,33.3,Matches
37,Claudio Aquino,ar ARG,MF,py Cerro Porteño,31,1991,5.6,1,0,0,7,18,1,28,1,11,0,0,0,29,2,2,50.0,Matches
38,Guilherme Arana,br BRA,DF,br Atlético Mineiro,25,1997,3.3,1,0,0,3,3,0,7,3,2,0,0,0,24,7,4,63.6,Matches
39,Charles Aránguiz,cl CHI,MF,br Internacional,33,1989,4.8,2,0,0,4,6,0,3,4,8,0,0,0,34,2,4,33.3,Matches
40,Pablo Aránguiz,cl CHI,"FW,MF",cl Ñublense,25,1997,2.2,2,0,0,3,5,3,8,2,1,0,0,0,7,1,3,25.0,Matches
41,Paul Arano,bo BOL,MF,bo The Strongest,27,1995,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
42,Luiz Araújo,br BRA,FW,br Flamengo,26,1996,0.1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,,Matches
43,Matheus Araújo,br BRA,MF,br Corinthians,20,2002,1.6,0,0,0,2,2,0,8,0,3,0,0,0,13,3,1,75.0,Matches
44,Walter Araújo,py PAR,MF,ve Metropolitanos,27,1995,0.8,0,0,0,1,1,0,2,0,4,0,0,0,7,0,0,,Matches
45,Damián Arce,ar ARG,MF,ar Patronato,31,1991,1.7,0,0,0,1,2,0,15,0,0,0,0,0,5,2,2,50.0,Matches
46,Jean Archimbaud,pe PER,"DF,MF",pe Melgar,28,1994,3.7,1,0,0,4,2,0,4,4,4,0,0,0,24,5,9,35.7,Matches
47,Alexis Arias,pe PER,"MF,FW",pe Melgar,27,1995,2.9,1,0,0,2,6,0,6,3,4,0,0,0,21,2,1,66.7,Matches
48,Gabriel Arias,cl CHI,GK,ar Racing Club,35,1987,9.3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,100.0,Matches
49,Jhon Arias,co COL,"FW,MF",br Fluminense,25,1997,12.5,2,0,0,17,23,2,73,6,16,0,0,0,80,6,15,28.6,Matches
50,Junior Arias,uy URU,"FW,MF",bo The Strongest,29,1993,0.8,0,0,0,1,0,0,1,0,1,0,0,0,2,3,3,50.0,Matches
51,Franco Armani,ar ARG,GK,ar River Plate,36,1986,8.3,1,0,0,1,0,0,0,0,0,0,1,0,8,0,1,0.0,Matches
52,Jaime Arrascaita,bo BOL,"FW,DF",bo The Strongest,29,1993,4.0,1,0,0,5,5,2,2,3,3,0,0,0,18,5,9,35.7,Matches
53,Abdiel Arroyo,pa PAN,"FW,DF",ve Monagas,29,1993,3.7,2,1,1,4,4,1,2,1,0,0,0,0,16,11,3,78.6,Matches
54,Arthur,br BRA,MF,br Fluminense,18,2004,0.3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,,Matches
55,Artur,br BRA,"FW,MF",br Palmeiras,24,1998,9.5,1,0,0,5,9,2,29,4,3,0,0,0,44,8,10,44.4,Matches
56,Iván Arturo Torres,py PAR,"MF,DF",py Olimpia,31,1991,6.5,3,0,0,3,5,0,7,9,5,0,0,0,30,7,4,63.6,Matches
57,Martin Aruga,ar ARG,DF,ar Patronato,24,1998,0.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,Matches
58,Adrián Ascues,pe PER,MF,pe Sporting Cristal,20,2002,0.2,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,50.0,Matches
59,Jayder Asprilla,co COL,"FW,MF",co Nacional,19,2003,0.8,1,0,0,5,0,0,0,0,0,0,0,0,2,4,4,50.0,Matches
60,Felipe Augusto,br BRA,FW,br Corinthians,18,2004,0.9,0,0,0,2,0,0,1,1,1,0,0,0,0,4,2,66.7,Matches
61,Renato Augusto,br BRA,"MF,FW",br Corinthians,34,1988,0.9,0,0,0,0,1,0,6,1,0,0,0,0,6,0,0,,Matches
62,Gabriel Ávalos,py PAR,FW,ar Arg Juniors,32,1990,5.3,1,0,0,9,6,3,5,3,1,0,0,0,13,14,20,41.2,Matches
63,Irven Ávila,pe PER,FW,pe Sporting Cristal,32,1990,0.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0,Matches
64,Tomás Avilés,ar ARG,MF,ar Racing Club,18,2004,1.6,0,0,0,3,0,1,0,3,4,0,0,0,9,3,6,33.3,Matches
65,Gabriel Báez,ar ARG,DF,uy Nacional,27,1995,2.3,0,0,0,0,1,1,5,2,1,0,0,0,8,3,0,100.0,Matches
66,Gabriel Báez,ar ARG,DF,py Cerro Porteño,27,1995,4.2,0,1,0,7,2,1,18,6,4,0,0,0,30,7,4,63.6,Matches
67,Adrián Balboa,uy URU,FW,co Pereira,29,1994,1.6,0,0,0,3,5,1,1,0,0,0,0,0,6,8,5,61.5,Matches
68,Fabián Balbuena,py PAR,DF,br Corinthians,31,1991,2.0,0,0,0,1,2,0,1,5,2,0,0,0,6,10,6,62.5,Matches
69,Josepmir Ballón,pe PER,MF,pe Alianza Lima,34,1988,5.4,2,0,0,7,1,0,0,6,2,0,0,0,30,7,4,63.6,Matches
70,Danovis Banguero,co COL,DF,co Nacional,33,1989,3.0,1,0,0,5,2,0,6,1,2,0,0,0,25,4,0,100.0,Matches
71,Gabriel Baralhas,br BRA,MF,br Internacional,24,1998,1.1,1,0,0,0,3,0,1,3,1,0,0,0,10,2,1,66.7,Matches
72,Diogo Barbosa,br BRA,"DF,MF",br Fluminense,30,1992,3.8,0,0,0,1,3,0,2,1,5,0,0,0,16,1,2,33.3,Matches
73,Gabriel Barbosa,br BRA,FW,br Flamengo,26,1996,6.3,1,0,0,1,3,3,10,0,2,0,0,0,7,2,0,100.0,Matches
74,Alexander Barboza,ar ARG,DF,py Libertad,27,1995,6.0,3,0,0,12,2,0,6,12,9,0,0,0,45,30,7,81.1,Matches
75,Ezequiel Barco,ar ARG,"FW,MF",ar River Plate,23,1999,7.0,1,0,0,5,21,0,15,3,5,1,0,0,40,0,1,0.0,Matches
76,Valentín Barco,ar ARG,"MF,DF",ar Boca Juniors,18,2004,7.1,3,0,0,6,26,0,52,6,8,0,0,0,45,1,4,20.0,Matches
77,Hernán Barcos,ar ARG,FW,pe Alianza Lima,38,1984,2.2,0,0,0,5,7,2,0,1,1,0,0,0,6,9,15,37.5,Matches
78,Antonio Bareiro,py PAR,MF,py Libertad,33,1989,0.4,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,33.3,Matches
79,Francisco Bareiro,py PAR,"FW,MF",ve Metropolitanos,23,1999,1.8,0,0,0,5,3,0,2,0,1,0,0,0,5,11,6,64.7,Matches
80,Juan Barinaga,ar ARG,MF,ar Patronato,22,2000,2.8,0,0,0,2,2,0,14,1,2,0,0,0,14,0,1,0.0,Matches
81,Jarlan Barrera,co COL,"MF,FW",co Nacional,27,1995,1.4,1,0,0,2,2,0,2,2,0,0,0,0,7,1,0,100.0,Matches
82,Orlando Barreto,py PAR,"DF,MF",py Olimpia,25,1998,1.3,0,0,0,0,1,0,0,1,1,0,0,0,10,0,1,0.0,Matches
83,Martín Barrios,uy URU,MF,uy Liverpool,24,1999,2.5,0,0,0,2,1,0,0,1,3,0,0,0,18,1,0,100.0,Matches
84,Fernando Basante,ve VEN,"FW,MF",ve Monagas,19,2003,3.1,1,0,0,10,4,1,1,0,5,0,0,0,14,7,10,41.2,Matches
85,Enmerson Batalla,co COL,"FW,MF",co Independiente,21,2001,2.7,0,0,0,5,4,1,15,0,2,0,0,0,18,2,1,66.7,Matches
86,Rodrigo Battaglia,ar ARG,MF,br Atlético Mineiro,31,1991,6.6,2,0,0,10,7,1,3,8,12,0,0,0,41,28,15,65.1,Matches
87,Jonathan Bauman,ar ARG,"FW,MF",ec Barcelona,31,1991,1.9,0,0,0,4,4,0,3,0,1,0,0,0,9,2,2,50.0,Matches
88,Diego Bejarano,bo BOL,"MF,DF",bo Bolívar,31,1991,8.5,2,0,0,6,4,1,13,12,4,0,0,0,41,10,14,41.7,Matches
89,Lucas Beltrán,ar ARG,FW,ar River Plate,21,2001,7.6,1,0,0,13,11,2,2,5,5,1,0,0,27,6,25,19.4,Matches
90,Darío Benedetto,ar ARG,FW,ar Boca Juniors,32,1990,4.4,2,0,0,6,7,1,3,0,5,0,0,0,9,4,13,23.5,Matches
91,Leandro Benegas,cl CHI,FW,cl Colo-Colo,34,1988,0.5,0,0,0,2,0,1,1,0,2,0,0,0,1,3,3,50.0,Matches
92,Bryan Bentaberry,uy URU,DF,bo Bolívar,26,1997,10.1,4,0,0,7,18,0,12,11,10,0,1,0,65,11,6,64.7,Matches
93,Rubén Bentancourt,uy URU,FW,uy Liverpool,29,1993,4.8,2,0,0,7,5,5,2,1,1,0,0,0,9,11,9,55.0,Matches
94,Bento,br BRA,GK,br Ath Paranaense,23,1999,8.3,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,Matches
95,Matheus Bidu,br BRA,DF,br Corinthians,23,1999,2.5,0,0,0,0,6,0,11,7,5,0,0,0,19,1,1,50.0,Matches
96,Biro,br BRA,MF,br Corinthians,18,2004,0.2,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,,Matches
97,Mariano Bíttolo,ar ARG,DF,ar Arg Juniors,32,1990,0.8,0,0,0,0,1,0,5,0,2,0,0,0,3,0,0,,Matches
98,Cristian Blanco,co COL,DF,co Nacional,24,1999,0.2,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,,Matches
99,Anthony Blondell,ve VEN,"DF,MF",ve Monagas,28,1994,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
100,Damián Bobadilla,py PAR,MF,py Cerro Porteño,21,2001,4.6,0,0,0,4,2,0,0,5,7,1,0,0,34,3,3,50.0,Matches
101,Daniel Bocanegra,co COL,DF,uy Nacional,35,1987,2.3,0,0,0,1,1,0,0,2,3,0,0,0,12,1,0,100.0,Matches
102,Johan Bocanegra,co COL,"MF,FW",co Pereira,24,1998,5.7,4,0,0,5,14,0,25,4,5,0,0,0,38,4,6,40.0,Matches
103,Marcos Bolados,cl CHI,FW,cl Colo-Colo,26,1996,4.2,1,0,0,7,5,6,18,2,3,1,0,0,10,9,15,37.5,Matches
104,Cristian Bordacahar,ar ARG,"DF,FW",pe Melgar,31,1991,5.5,1,0,0,1,5,4,37,2,3,0,0,0,29,6,10,37.5,Matches
105,Miguel Borja,co COL,FW,ar River Plate,30,1993,0.9,1,0,0,0,1,1,0,0,0,0,0,0,3,5,3,62.5,Matches
106,Agustín Bouzat,ar ARG,DF,cl Colo-Colo,28,1994,5.7,2,0,0,11,2,1,20,10,15,0,0,0,51,7,6,53.8,Matches
107,David Braz,br BRA,"DF,FW",br Fluminense,35,1987,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,66.7,Matches
108,Breno,br BRA,FW,br Palmeiras,27,1996,1.5,0,0,0,0,6,0,4,1,0,0,0,0,4,1,4,20.0,Matches
109,Norberto Briasco,am ARM,FW,ar Boca Juniors,26,1996,1.4,1,0,0,2,2,0,7,0,3,0,0,0,8,1,1,50.0,Matches
110,Ronald Briones,ec ECU,DF,ec SD Aucas,22,2000,0.5,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0,Matches
111,Sebastián Britos,uy URU,GK,uy Liverpool,35,1988,6.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
112,Eduardo Brock,br BRA,DF,py Cerro Porteño,31,1991,4.2,0,0,0,1,0,0,2,1,13,0,0,0,28,17,11,60.7,Matches
113,Facundo Bruera,ar ARG,FW,py Olimpia,24,1998,1.5,0,0,0,1,1,1,0,0,3,0,0,0,8,7,7,50.0,Matches
114,Fabrício Bruno,br BRA,DF,br Flamengo,26,1996,6.0,0,0,0,5,2,0,3,3,6,0,0,0,40,14,7,66.7,Matches
115,Matías Budiño,ar ARG,GK,ar Patronato,27,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
116,Vitor Bueno,br BRA,"MF,FW",br Ath Paranaense,28,1994,2.8,0,0,0,2,1,0,7,0,2,0,0,0,6,1,5,16.7,Matches
117,Javier Burrai,ec ECU,GK,ec Barcelona,32,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,100.0,Matches
118,Fabricio Bustos,ar ARG,DF,br Internacional,26,1996,5.8,1,0,0,4,5,0,9,1,6,0,0,0,30,1,3,25.0,Matches
119,Catriel Cabellos,pe PER,FW,ar Racing Club,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
120,Esnaider Cabezas,ec ECU,DF,ec Independiente,23,1999,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,Matches
121,Jorge Cabezas,co COL,"FW,MF",co Independiente,19,2003,0.4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches
122,Jorge Cabezudo,pe PER,GK,pe Melgar,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
123,Rodrigo Cabral,ar ARG,DF,ar Arg Juniors,22,2000,0.2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,Matches
124,Javier Cabrera,uy URU,"FW,DF",ar Arg Juniors,30,1992,7.4,0,0,0,3,8,1,46,2,12,0,0,0,48,6,6,50.0,Matches
125,Kenji Cabrera,pe PER,MF,pe Melgar,20,2003,1.4,0,0,0,1,3,0,9,1,3,0,0,0,3,1,1,50.0,Matches
126,Maicol Cabrera,uy URU,FW,uy Liverpool,26,1996,1.3,0,0,0,2,2,2,0,1,0,0,0,0,3,4,2,66.7,Matches
127,Cacá,br BRA,DF,br Ath Paranaense,23,1999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
128,Carlos Cáceda,pe PER,GK,pe Melgar,31,1991,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
129,Andrés Cadavid,co COL,DF,co Independiente,37,1985,5.0,2,0,0,5,0,0,2,4,4,0,0,0,29,15,7,68.2,Matches
130,Caetano,br BRA,DF,br Corinthians,23,1999,1.2,0,0,0,0,1,0,0,0,2,0,0,0,3,1,1,50.0,Matches
131,Beder Caicedo,ec ECU,DF,ec Independiente,30,1992,1.3,0,0,0,3,0,0,5,0,0,0,0,0,5,4,3,57.1,Matches
132,Edison Caicedo,ec ECU,MF,ec SD Aucas,32,1990,3.9,1,1,0,5,9,0,1,5,5,0,0,0,25,3,1,75.0,Matches
133,Rodrigo Caio,br BRA,DF,br Flamengo,29,1993,1.2,0,0,0,0,1,0,0,1,1,0,0,0,4,3,0,100.0,Matches
134,Christian Camarillo,ve VEN,DF,ve Metropolitanos,20,2002,1.0,0,0,0,1,0,0,0,4,0,0,0,0,3,2,2,50.0,Matches
135,Diber Cambindo,co COL,"FW,MF",co Independiente,26,1996,2.0,1,0,0,4,2,2,0,0,0,0,0,0,5,2,5,28.6,Matches
136,Gustavo Campanharo,br BRA,MF,br Internacional,30,1992,2.2,1,0,0,7,6,0,0,3,2,0,0,0,13,6,5,54.5,Matches
137,Ángelo Campos,pe PER,GK,pe Alianza Lima,29,1993,5.0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,,Matches
138,Giovanni Campusano,cl CHI,DF,cl Ñublense,30,1993,3.8,0,0,0,6,3,0,19,5,1,0,0,0,16,6,4,60.0,Matches
139,Álvaro Campuzano,py PAR,MF,py Libertad,27,1995,5.0,3,0,0,4,7,0,2,5,19,0,0,0,48,9,8,52.9,Matches
140,Jorman Campuzano,co COL,MF,ar Boca Juniors,26,1996,1.0,0,0,0,1,3,0,0,1,2,0,0,0,11,3,0,100.0,Matches
141,Yerson Candelo,co COL,"MF,DF",co Nacional,30,1992,3.7,1,0,0,0,1,0,18,2,4,0,0,0,18,1,1,50.0,Matches
142,Camilo Cándido,uy URU,DF,uy Nacional,27,1995,4.7,3,0,0,8,1,0,20,11,8,0,0,0,34,3,1,75.0,Matches
143,Luis Cangá,ec ECU,DF,ec SD Aucas,27,1995,5.0,1,0,0,2,2,0,0,5,12,0,0,0,29,8,8,50.0,Matches
144,Germán Cano,ar ARG,FW,br Fluminense,34,1988,12.0,3,0,0,17,12,13,4,6,4,0,0,0,23,7,18,28.0,Matches
145,Luis Cano,ec ECU,"MF,DF",ec SD Aucas,23,1999,2.1,0,0,0,2,5,2,8,1,4,0,0,0,13,2,2,50.0,Matches
146,Agustín Canobbio,uy URU,"FW,MF",br Ath Paranaense,24,1998,5.3,1,0,0,7,11,1,7,3,6,0,0,0,32,1,5,16.7,Matches
147,Maximiliano Cantera,uy URU,FW,co Nacional,29,1993,1.0,0,0,0,0,3,0,0,0,1,0,0,0,5,4,2,66.7,Matches
148,Víctor Cantillo,co COL,MF,br Corinthians,29,1993,1.0,0,0,0,2,1,0,3,5,1,0,0,0,8,3,0,100.0,Matches
149,Mateo Carabajal,ar ARG,DF,ec Independiente,25,1997,6.9,2,0,0,3,10,0,2,8,10,0,0,1,40,16,11,59.3,Matches
150,Franklin Carabalí,ec ECU,DF,ec SD Aucas,26,1996,0.8,0,0,0,0,1,0,2,2,0,0,0,0,3,2,1,66.7,Matches
151,Michael Carcelen,ec ECU,"MF,DF",ec SD Aucas,25,1997,0.9,1,0,0,2,2,0,3,0,1,0,0,0,10,2,2,50.0,Matches
152,Edwin Cardona,co COL,FW,ar Racing Club,30,1992,0.2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,Matches
153,Johnny Cardoso,us USA,MF,br Internacional,21,2001,9.7,2,0,0,14,8,0,1,18,16,0,0,0,53,20,10,66.7,Matches
154,Ángel Cardozo,py PAR,MF,py Cerro Porteño,28,1994,2.2,1,0,0,3,4,0,2,2,5,0,0,0,17,3,0,100.0,Matches
155,Luis Cardozo,py PAR,DF,py Libertad,34,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
156,Óscar Cardozo,py PAR,FW,py Libertad,39,1983,2.4,0,0,0,5,2,0,0,0,0,0,0,0,4,18,17,51.4,Matches
157,Roberto Carlos Fernández,bo BOL,"MF,DF",bo Bolívar,23,1999,4.9,2,1,0,8,6,0,17,6,3,0,0,0,19,4,8,33.3,Matches
158,Rafael Caroca,cl CHI,DF,cl Ñublense,33,1989,5.0,3,0,0,3,5,0,0,11,9,0,0,0,23,5,4,55.6,Matches
159,Rafael Carrascal,co COL,MF,py Cerro Porteño,30,1992,3.6,1,0,0,8,5,0,2,5,11,0,0,0,53,2,0,100.0,Matches
160,Federico Carrizo,ar ARG,"MF,FW",py Cerro Porteño,31,1991,4.1,0,0,0,3,3,2,11,3,2,0,0,0,19,0,0,,Matches
161,Alan Carvalho,cn CHN,DF,br Fluminense,33,1989,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
162,Milton Casco,ar ARG,DF,ar River Plate,34,1988,6.9,0,0,0,10,4,0,20,6,4,0,0,0,46,8,8,50.0,Matches
163,Cássio,br BRA,GK,br Corinthians,35,1987,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
164,Diego Castillo,co COL,"MF,FW",ve Metropolitanos,23,1999,0.8,0,0,0,0,1,0,2,0,1,0,0,0,10,2,3,40.0,Matches
165,Edson Castillo,ve VEN,"MF,DF",ve Monagas,28,1994,4.3,2,0,0,7,5,1,0,7,2,0,0,0,20,8,12,40.0,Matches
