Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
665,Carlos Roca,bo BOL,DF,bo The Strongest,25,1997,5.7,1,0,0,9,3,0,10,7,4,0,1,0,30,5,3,62.5,Matches
666,Kaique Rocha,br BRA,DF,br Ath Paranaense,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
667,Marcos Rocha,br BRA,DF,br Palmeiras,34,1988,4.2,1,0,0,8,9,0,7,7,5,0,0,0,20,2,2,50.0,Matches
668,Sergio Rochet,uy URU,GK,uy Nacional,29,1993,6.0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
669,Sergio Rochet,uy URU,GK,br Internacional,29,1993,6.3,1,0,0,0,1,0,0,0,1,0,0,0,5,3,0,100.0,Matches
670,Agustín Rodríguez,uy URU,"FW,MF",ec Barcelona,24,1998,1.9,0,0,0,2,3,1,0,0,2,0,0,0,7,1,6,14.3,Matches
671,Alan Rodríguez,uy URU,"MF,FW",ar Arg Juniors,23,2000,4.7,0,0,0,5,2,0,6,1,8,0,0,0,27,1,3,25.0,Matches
672,Aldair Rodríguez,pe PER,"MF,FW",pe Alianza Lima,28,1994,3.4,1,0,0,4,3,1,3,3,2,0,0,0,11,6,5,54.5,Matches
673,Angelo Rodríguez,co COL,FW,co Pereira,33,1989,8.8,4,0,0,29,14,13,4,2,0,1,0,0,21,10,21,32.3,Matches
674,Arley Rodríguez,co COL,FW,co Pereira,29,1993,6.1,2,0,0,10,11,4,7,1,5,0,0,0,22,19,15,55.9,Matches
675,Carlos Rodríguez,uy URU,DF,ec Barcelona,32,1990,4.0,1,0,0,2,1,0,0,6,4,0,0,0,28,11,10,52.4,Matches
676,Cristopher Rodríguez,ve VEN,DF,ve Monagas,25,1997,6.0,0,0,0,6,3,0,0,13,7,0,0,0,35,9,10,47.4,Matches
677,Diego Rodríguez,uy URU,MF,uy Nacional,33,1989,5.2,0,0,0,6,2,0,3,6,11,0,0,0,35,4,2,66.7,Matches
678,Ignacio Rodríguez,uy URU,DF,uy Liverpool,19,2003,0.7,1,0,0,1,2,0,0,1,0,0,0,0,3,0,2,0.0,Matches
679,Kevin Rodríguez,ec ECU,"FW,DF",ec Independiente,22,2000,2.9,1,0,0,5,4,3,6,1,1,0,0,0,9,5,7,41.7,Matches
680,Leandro Rodríguez,ve VEN,"MF,FW",ve Monagas,17,2005,1.3,1,0,0,2,1,0,7,0,2,0,0,0,4,0,0,,Matches
681,Luciano Rodríguez,uy URU,FW,uy Liverpool,19,2003,3.0,0,0,0,4,9,1,4,1,2,0,0,0,11,1,1,50.0,Matches
682,Patito Rodríguez,ar ARG,"MF,FW",bo Bolívar,32,1990,7.5,1,0,0,4,5,1,51,3,4,0,0,0,35,4,4,50.0,Matches
683,Ronald Rodríguez,ve VEN,FW,ve Monagas,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
684,Yonatan Rodríguez,uy URU,MF,uy Nacional,29,1993,7.2,4,0,0,17,7,0,13,8,17,0,0,0,51,13,12,52.0,Matches
685,Gabriel Rojas,ar ARG,DF,ar Racing Club,25,1997,10.1,2,0,0,12,19,1,46,8,10,1,0,0,44,9,11,45.0,Matches
686,Jeyson Rojas,cl CHI,DF,cl Colo-Colo,21,2002,3.6,1,0,0,4,1,0,12,3,5,0,0,0,26,1,7,12.5,Matches
687,Marco Rojas,nz NZL,MF,cl Colo-Colo,31,1991,0.5,0,0,0,0,4,0,2,0,0,0,0,0,3,0,1,0.0,Matches
688,Matías Rojas,py PAR,"FW,MF",ar Racing Club,27,1995,2.7,2,0,0,3,3,0,9,0,1,0,0,0,13,2,2,50.0,Matches
689,Robert Rojas,py PAR,DF,ar River Plate,26,1996,3.7,0,0,0,4,0,0,0,3,3,0,0,0,20,3,3,50.0,Matches
690,Marcos Rojo,ar ARG,DF,ar Boca Juniors,32,1990,4.4,3,1,1,7,1,1,1,4,4,0,0,0,20,12,3,80.0,Matches
691,Esteban Rolón,ar ARG,FW,ar Boca Juniors,27,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
692,Jhohan Romaña,co COL,DF,py Olimpia,24,1998,5.8,1,0,0,7,5,0,1,8,8,0,0,0,27,15,10,60.0,Matches
693,Andrés Romero,ve VEN,"MF,DF",ve Monagas,19,2003,4.9,3,0,0,8,8,2,12,3,8,0,0,0,34,5,3,62.5,Matches
694,Ángel Romero,py PAR,"MF,FW",br Corinthians,30,1992,0.8,0,0,0,0,1,0,7,0,1,0,0,0,4,0,2,0.0,Matches
695,Juan Romero,py PAR,FW,py Olimpia,21,2001,0.5,2,1,1,2,0,0,1,1,2,0,0,0,3,0,1,0.0,Matches
696,Maximiliano Romero,ar ARG,FW,ar Racing Club,24,1999,6.1,0,0,0,1,6,4,1,2,3,0,0,0,21,13,16,44.8,Matches
697,Óscar Romero,py PAR,"FW,MF",ar Boca Juniors,30,1992,1.8,0,0,0,1,9,0,3,0,0,0,0,0,15,1,1,50.0,Matches
698,Sergio Romero,ar ARG,GK,ar Boca Juniors,35,1987,14.3,1,0,0,0,2,0,0,0,0,0,0,0,10,1,0,100.0,Matches
699,Luis Romero Véliz,ec ECU,DF,ec SD Aucas,38,1984,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
700,Rômulo,br BRA,"FW,MF",br Ath Paranaense,20,2002,1.4,0,0,0,3,2,0,1,2,3,0,0,0,7,6,7,46.2,Matches
701,Romulo,br BRA,"MF,DF",br Internacional,22,2000,3.6,2,0,0,6,11,0,1,7,6,0,0,0,16,5,9,35.7,Matches
702,Facundo Roncaglia,ar ARG,DF,ar Boca Juniors,35,1987,2.9,3,1,1,6,2,0,0,7,1,0,0,0,12,3,3,50.0,Matches
703,Salomón Rondón,ve VEN,FW,ar River Plate,33,1989,0.6,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
704,Budiga Roni,br BRA,MF,br Corinthians,23,1999,2.2,2,0,0,7,2,0,2,0,4,0,0,0,12,3,3,50.0,Matches
705,Rony,br BRA,FW,br Palmeiras,27,1995,9.6,3,0,0,12,15,10,6,0,3,2,0,0,13,11,33,25.0,Matches
706,Vitor Roque,br BRA,FW,br Ath Paranaense,17,2005,7.1,0,0,0,9,18,5,3,0,2,0,0,0,15,10,21,32.3,Matches
707,Rubens,br BRA,"DF,FW",br Atlético Mineiro,21,2001,2.9,1,0,0,6,4,1,11,6,4,1,0,0,20,1,2,33.3,Matches
708,Patricio Rubio,cl CHI,FW,cl Ñublense,33,1989,3.7,3,0,0,7,9,3,2,1,2,0,0,0,11,10,10,50.0,Matches
709,Tobías Rubio,ar ARG,DF,ar Racing Club,18,2004,1.5,2,0,0,2,3,0,2,2,2,0,0,0,13,2,3,40.0,Matches
710,Matías Ruíz Díaz,ar ARG,DF,ar Patronato,26,1996,3.3,2,0,0,1,2,0,8,3,2,0,1,0,15,0,1,0.0,Matches
711,Ignacio Russo,ar ARG,"MF,FW",ar Patronato,22,2000,2.7,0,0,0,5,7,1,6,2,0,0,0,0,8,4,10,28.6,Matches
712,Pablo Sabbag,sy SYR,FW,pe Alianza Lima,25,1997,3.9,1,0,0,6,6,1,4,1,0,0,0,0,11,11,15,42.3,Matches
713,José Sagredo,bo BOL,DF,bo Bolívar,28,1994,7.0,2,1,1,8,1,1,16,4,11,0,0,0,54,6,7,46.2,Matches
714,Andrés Salazar,co COL,DF,co Nacional,20,2003,2.4,1,0,0,3,2,0,6,5,1,0,0,0,19,0,6,0.0,Matches
715,Alan Saldivia,uy URU,DF,cl Colo-Colo,20,2002,3.0,0,0,0,5,1,0,0,10,4,0,0,0,20,21,5,80.8,Matches
716,Emiliano Saliadarre,ar ARG,FW,ar Racing Club,20,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,50.0,Matches
717,Julio Salvá,ar ARG,GK,ar Patronato,35,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
718,Braian Samudio,py PAR,"FW,MF",py Cerro Porteño,27,1995,1.3,0,0,0,2,1,1,2,0,2,0,0,0,3,8,9,47.1,Matches
719,Miguel Samudio,py PAR,DF,uy Liverpool,36,1986,5.6,1,0,0,1,1,0,14,6,8,0,0,0,26,4,2,66.7,Matches
720,Lucas Sanabria,py PAR,MF,py Libertad,23,1999,5.0,1,0,0,7,4,0,7,9,3,0,0,0,27,8,11,42.1,Matches
721,Juan Sánchez,ec ECU,MF,pe Sporting Cristal,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
722,Luciano Sánchez,ar ARG,"DF,FW",ar Arg Juniors,29,1994,1.3,0,0,0,1,1,0,1,7,3,0,0,0,7,1,0,100.0,Matches
723,Agustín Sández,ar ARG,DF,ar Boca Juniors,22,2001,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
724,Roque Santa Cruz,py PAR,"FW,MF",py Libertad,41,1981,1.4,0,0,0,3,1,0,1,0,0,0,0,0,6,14,8,63.6,Matches
725,Danilo Santacruz,py PAR,"FW,MF",co Pereira,27,1995,1.8,0,0,0,0,4,0,5,0,2,0,0,0,6,2,4,33.3,Matches
726,Alex Santana,br BRA,MF,br Ath Paranaense,27,1995,2.9,2,0,0,7,6,0,1,2,4,0,0,0,18,3,2,60.0,Matches
727,Santos,br BRA,GK,br Flamengo,32,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
728,Fábio Santos,br BRA,DF,br Corinthians,37,1985,3.0,0,0,0,1,4,0,4,3,1,0,0,0,13,1,1,50.0,Matches
729,Pedrinho Santos,br BRA,"FW,MF",br Corinthians,16,2006,0.9,1,0,0,2,2,0,4,0,0,0,0,0,3,1,0,100.0,Matches
730,Marcelo Saracchi,uy URU,DF,ar Boca Juniors,24,1998,0.9,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,,Matches
731,Franco Saravia,pe PER,GK,pe Alianza Lima,23,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
732,Renzo Saravia,ar ARG,DF,br Atlético Mineiro,29,1993,3.2,2,0,0,6,13,0,8,1,7,0,0,0,24,4,6,40.0,Matches
733,Fernando Saucedo,bo BOL,MF,bo Bolívar,32,1990,4.7,0,0,0,7,1,0,9,4,3,0,0,0,35,3,5,37.5,Matches
734,Bruno Sávio,br BRA,MF,bo Bolívar,28,1994,3.5,1,0,0,6,0,0,11,2,5,0,0,0,12,1,7,12.5,Matches
735,Giancarlo Schiavone,ve VEN,GK,ve Metropolitanos,29,1993,6.0,0,0,0,0,3,0,0,0,1,0,0,0,5,4,1,80.0,Matches
736,Richard Schunke,ar ARG,DF,ec Independiente,31,1991,5.0,0,0,0,7,1,0,0,6,7,0,1,0,47,9,6,60.0,Matches
737,Giovanny Sequera,ve VEN,MF,ve Metropolitanos,16,2006,0.8,0,1,0,2,4,0,1,0,0,0,0,0,4,0,0,,Matches
738,Leonardo Sigali,ar ARG,DF,ar Racing Club,35,1987,9.9,1,0,0,3,4,2,0,10,13,0,0,0,56,19,21,47.5,Matches
739,Alejandro Silva González,uy URU,"MF,DF",py Olimpia,33,1989,9.4,1,0,0,7,9,0,32,2,10,0,0,0,76,4,1,80.0,Matches
740,Martín Silva,uy URU,GK,py Libertad,39,1983,6.0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
741,Matías Silva,uy URU,FW,uy Liverpool,18,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
742,Nathan Silva,br BRA,DF,br Atlético Mineiro,25,1997,4.0,0,0,0,3,2,0,1,3,1,0,0,0,19,15,7,68.2,Matches
743,Santiago Simón,ar ARG,"FW,MF",ar River Plate,20,2002,0.5,0,0,0,3,0,0,4,2,1,0,0,0,6,1,0,100.0,Matches
744,Jailson Siqueira,br BRA,MF,br Palmeiras,27,1995,0.7,2,1,1,2,1,0,0,1,1,0,0,0,3,1,0,100.0,Matches
745,Everton Soares,br BRA,"FW,MF",br Flamengo,26,1996,2.0,0,0,0,3,2,1,3,0,2,0,0,0,8,1,2,33.3,Matches
746,Pablo Solari,ar ARG,"FW,MF",ar River Plate,21,2001,4.4,1,0,0,3,5,5,13,0,6,0,0,0,26,1,12,7.7,Matches
747,Jhon Solis,co COL,MF,co Nacional,18,2004,3.5,2,1,1,4,1,0,0,1,6,0,0,0,24,3,3,50.0,Matches
748,Nazareno Solís,ar ARG,"FW,MF",ar Patronato,28,1994,2.7,3,0,0,2,12,2,18,2,2,0,0,0,24,0,4,0.0,Matches
749,Renato Solis,pe PER,GK,pe Sporting Cristal,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0,Matches
750,Junior Sornoza,ec ECU,"MF,FW",ec Independiente,29,1994,4.2,3,0,0,1,3,0,34,3,0,0,0,0,23,2,4,33.3,Matches
751,Alexander Sosa,ar ARG,FW,ar Patronato,21,2001,1.5,3,0,0,4,0,3,1,0,0,0,0,0,7,0,4,0.0,Matches
752,Leandro Sosa,uy URU,"FW,MF",pe Sporting Cristal,28,1994,2.1,0,0,0,1,1,0,4,1,3,0,0,0,15,1,1,50.0,Matches
753,Luca Sosa,ar ARG,DF,ec Barcelona,28,1994,6.0,3,0,0,4,4,0,4,2,6,0,0,0,28,5,12,29.4,Matches
754,Lucas Soto,cl CHI,MF,cl Colo-Colo,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
755,Gabriel Sotomayor,bo BOL,FW,bo The Strongest,23,1999,1.7,0,0,0,2,7,0,2,1,6,0,0,0,10,1,2,33.3,Matches
756,Jeison Suarez,co COL,DF,co Pereira,25,1997,3.6,0,0,0,2,4,0,8,6,5,0,0,0,34,8,4,66.7,Matches
757,Matías Suárez,ar ARG,"FW,MF",ar River Plate,34,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
758,Bruno Tabata,br BRA,MF,br Palmeiras,25,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
759,Vicente Taborda,ar ARG,MF,ar Boca Juniors,21,2001,0.2,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,,Matches
760,Matías Tagliamonte,ar ARG,GK,ar Racing Club,24,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
761,Walter Tandazo,pe PER,MF,pe Melgar,22,2000,3.1,0,0,0,3,2,0,2,3,7,0,0,0,13,2,2,50.0,Matches
762,Gerald Távara,pe PER,MF,pe Sporting Cristal,23,1999,2.1,1,0,0,2,3,0,3,2,5,0,0,0,21,3,2,60.0,Matches
763,David Terans,uy URU,"MF,FW",br Ath Paranaense,28,1994,3.6,1,0,0,3,1,1,13,2,3,0,0,0,19,1,7,12.5,Matches
764,Thiago,br BRA,FW,br Ath Paranaense,22,2000,1.5,0,0,0,3,3,0,1,0,0,0,0,0,8,0,1,0.0,Matches
765,Jordhy Thompson,cl CHI,"FW,DF",cl Colo-Colo,18,2004,1.0,0,0,0,2,2,0,5,0,1,0,0,0,8,1,0,100.0,Matches
766,Daniel Torres,co COL,MF,co Independiente,33,1989,4.1,3,0,0,12,5,0,1,8,2,0,0,0,27,3,10,23.1,Matches
767,Diego Torres,py PAR,"FW,MF",py Olimpia,20,2002,1.6,2,0,0,2,2,0,4,0,2,0,0,0,10,3,1,75.0,Matches
768,Juan Torres,co COL,"MF,FW",co Nacional,18,2004,2.2,0,0,0,2,5,0,8,0,1,1,0,0,10,0,3,0.0,Matches
769,Saúl Torres,bo BOL,DF,bo The Strongest,32,1990,5.1,0,0,0,1,0,0,6,5,8,0,0,0,29,1,3,25.0,Matches
770,Alfonso Trezza,uy URU,"FW,MF",uy Nacional,23,1999,5.7,2,0,0,8,10,1,13,3,9,0,0,0,27,3,11,21.4,Matches
771,Enrique Triverio,ar ARG,FW,bo The Strongest,34,1988,5.9,3,0,0,11,10,6,5,0,1,1,0,0,9,22,29,43.1,Matches
772,Luciano Ursino,bo BOL,MF,bo The Strongest,34,1988,4.8,2,0,0,13,1,2,12,3,5,0,0,0,26,0,3,0.0,Matches
773,Javier Uzeda,bo BOL,"MF,DF",bo Bolívar,20,2002,1.2,0,0,0,1,3,0,1,1,0,0,0,0,8,0,0,,Matches
774,Ramiro Vaca,bo BOL,"MF,FW",bo Bolívar,23,1999,1.2,1,0,0,0,2,0,4,1,0,0,0,0,15,0,1,0.0,Matches
775,Ely Valderrey,ve VEN,DF,ve Metropolitanos,36,1986,1.3,1,0,0,2,0,0,1,2,0,0,0,0,12,3,1,75.0,Matches
776,Alex Valdés,cl CHI,"FW,MF",cl Ñublense,20,2002,0.8,0,0,0,3,0,0,1,0,1,0,0,0,2,2,2,50.0,Matches
777,Bruno Valdez,py PAR,"DF,FW",ar Boca Juniors,30,1992,3.5,2,2,1,5,3,0,0,3,2,0,0,0,10,5,3,62.5,Matches
778,Jorge Valdez Chamorro,ar ARG,MF,ar Patronato,28,1994,1.8,1,0,0,3,2,0,7,2,3,0,0,0,11,5,2,71.4,Matches
779,Enner Valencia,ec ECU,FW,br Internacional,33,1989,6.1,0,0,0,10,12,8,4,0,0,0,0,0,15,6,17,26.1,Matches
780,Ever Valencia,co COL,"FW,MF",co Independiente,26,1997,0.4,0,0,0,1,0,0,5,0,0,0,0,0,3,0,2,0.0,Matches
781,Kener Valencia,co COL,"FW,DF",co Pereira,21,2001,1.2,0,0,0,2,0,1,0,0,3,0,0,0,4,7,12,36.8,Matches
782,Nicolás Valentini,ar ARG,DF,ar Boca Juniors,21,2001,8.2,2,0,0,10,4,0,2,6,5,0,0,0,28,19,8,70.4,Matches
783,Oswaldo Valenzuela,pe PER,MF,pe Alianza Lima,22,2000,0.2,1,0,0,2,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
784,Vanderlan,br BRA,DF,br Palmeiras,20,2002,2.6,0,0,0,4,1,0,10,3,1,0,0,0,20,2,2,50.0,Matches
785,Alan Varela,ar ARG,MF,ar Boca Juniors,21,2001,7.3,1,0,0,6,4,0,0,11,13,0,0,0,45,9,6,60.0,Matches
786,Guillermo Varela,uy URU,DF,br Flamengo,29,1993,1.1,0,0,0,2,3,0,2,0,0,0,0,0,6,1,2,33.3,Matches
787,Eduardo Vargas,cl CHI,FW,br Atlético Mineiro,33,1989,2.1,0,0,0,1,3,0,1,2,2,0,0,0,12,1,8,11.1,Matches
788,Freddy Vargas,ve VEN,"MF,FW",ve Metropolitanos,23,1999,4.8,2,0,0,5,5,1,19,1,4,0,0,0,20,3,0,100.0,Matches
789,Jefre Vargas,ve VEN,DF,ve Metropolitanos,28,1995,6.0,0,0,0,3,4,0,17,7,3,0,0,0,54,3,4,42.9,Matches
790,Fabio Vázquez,ar ARG,MF,ar Patronato,28,1994,3.8,2,0,0,5,3,0,0,3,4,0,0,0,30,2,2,50.0,Matches
791,Luis Vázquez,ar ARG,FW,ar Boca Juniors,22,2001,1.5,0,0,0,1,0,0,0,0,1,0,0,0,3,6,0,100.0,Matches
792,Edison Vega,ec ECU,MF,ec SD Aucas,32,1990,4.7,2,0,0,2,9,0,1,6,3,0,0,0,30,3,2,60.0,Matches
793,Raphael Veiga,br BRA,MF,br Palmeiras,27,1995,9.2,2,0,0,16,19,0,61,6,9,0,0,0,45,1,10,9.1,Matches
794,Yílmar Velásquez,co COL,MF,co Pereira,23,1999,5.5,0,0,0,15,3,0,0,4,13,0,0,0,43,6,7,46.2,Matches
795,Fausto Vera,ar ARG,MF,br Corinthians,22,2000,5.7,2,0,0,8,6,0,6,3,4,0,0,0,44,3,8,27.3,Matches
796,Matías Vera,ar ARG,FW,ar Arg Juniors,27,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
797,Gastón Verón,ar ARG,"FW,MF",ar Arg Juniors,21,2001,4.5,0,0,0,8,8,2,2,2,6,0,0,0,22,9,18,33.3,Matches
798,Arturo Vidal,cl CHI,MF,br Ath Paranaense,35,1987,2.1,0,0,0,5,2,0,9,4,1,0,0,0,13,3,5,37.5,Matches
799,Arturo Vidal,cl CHI,MF,br Flamengo,35,1987,2.9,2,0,0,5,3,0,1,2,4,0,0,0,18,3,3,50.0,Matches
800,Felipe Vieira,,FW,br Fluminense,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
801,Diego Viera,py PAR,DF,py Libertad,31,1991,6.0,0,0,0,1,1,0,4,5,8,0,0,0,36,14,4,77.8,Matches
802,Wilder Viera,py PAR,MF,py Cerro Porteño,20,2002,2.4,2,0,0,4,1,0,1,2,8,0,0,0,17,1,2,33.3,Matches
803,Andrés Vilches,cl CHI,"FW,DF",cl Ñublense,31,1992,2.7,0,0,0,5,3,1,0,2,3,0,0,0,6,6,11,35.3,Matches
804,Yordi Vílchez,pe PER,DF,pe Alianza Lima,27,1995,2.5,0,0,0,6,1,0,8,5,5,0,0,0,18,4,5,44.4,Matches
805,Alexis Villa,ec ECU,GK,ec Independiente,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
806,Sebastián Villa,co COL,"FW,MF",ar Boca Juniors,26,1996,4.0,0,0,0,2,16,1,37,2,4,0,0,0,26,1,4,20.0,Matches
807,Héctor Villalba,py PAR,"FW,MF",py Libertad,28,1994,5.4,0,0,0,6,3,2,52,4,1,0,0,0,29,3,8,27.3,Matches
808,Lucas Villalba,ar ARG,DF,ar Arg Juniors,28,1994,6.0,7,1,1,8,3,0,10,12,3,0,1,0,21,8,4,66.7,Matches
809,Gabriel Villamíl,bo BOL,"MF,DF",bo Bolívar,21,2001,10.2,5,0,0,16,3,0,11,8,14,0,0,0,55,5,10,33.3,Matches
810,Moisés Villarroel Angulo,bo BOL,MF,bo Bolívar,24,1998,0.3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,Matches
811,Miguel Villarroel,bo BOL,"MF,DF",bo Bolívar,20,2003,0.7,0,0,0,0,4,0,10,0,1,0,0,0,5,0,0,,Matches
812,Vitão,br BRA,DF,br Internacional,22,2000,10.3,2,0,0,4,3,0,2,13,7,0,0,0,32,21,16,56.8,Matches
813,Guillermo Vizcarra,bo BOL,GK,bo The Strongest,29,1993,6.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.0,Matches
814,Wanderson,br BRA,"FW,MF",br Internacional,28,1994,9.9,2,0,0,10,11,2,31,4,10,0,0,0,50,9,4,69.2,Matches
815,Marcelo Weigandt,ar ARG,DF,ar Boca Juniors,23,2000,5.7,1,0,0,2,7,1,11,7,10,0,0,0,43,9,7,56.3,Matches
816,Wesley,br BRA,DF,br Flamengo,19,2003,5.5,4,1,1,10,7,0,9,4,6,0,0,0,33,8,7,53.3,Matches
817,Wesley,br BRA,MF,br Corinthians,17,2005,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
818,Wéverton,br BRA,GK,br Palmeiras,35,1987,11.3,0,0,0,0,6,0,0,0,0,0,0,0,11,6,0,100.0,Matches
819,Érick Wiemberg,cl CHI,DF,cl Colo-Colo,28,1994,1.5,1,0,0,3,0,0,1,2,1,0,0,0,4,5,4,55.6,Matches
820,Willian,br BRA,FW,br Ath Paranaense,36,1986,0.3,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,,Matches
821,Samuel Xavier,br BRA,DF,br Fluminense,32,1990,10.3,4,1,1,7,7,1,16,5,7,0,0,0,39,3,8,27.3,Matches
822,Yoshimar Yotún,pe PER,"MF,FW",pe Sporting Cristal,32,1990,5.0,1,1,0,5,19,0,20,4,8,0,0,0,35,8,2,80.0,Matches
823,Diego Zabala,uy URU,MF,uy Nacional,31,1991,7.5,2,0,0,6,4,0,51,3,5,0,0,0,45,5,15,25.0,Matches
824,Facundo Zabala,ar ARG,DF,py Olimpia,24,1999,9.0,2,0,0,6,4,0,20,11,10,0,0,0,55,8,5,61.5,Matches
825,Nicolás Zalazar,ar ARG,DF,cl Ñublense,26,1997,3.9,3,1,1,5,2,0,3,10,4,0,1,0,19,5,3,62.5,Matches
826,Carlos Zambrano,pe PER,DF,pe Alianza Lima,33,1989,5.0,2,0,0,4,7,0,0,7,5,0,0,0,23,8,8,50.0,Matches
827,Franco Zanelatto,pe PER,"FW,MF",pe Alianza Lima,22,2000,1.7,0,0,0,2,6,1,5,0,1,0,0,0,3,1,2,33.3,Matches
828,Cristián Zapata,co COL,DF,co Nacional,36,1986,5.8,3,0,0,8,4,0,0,4,1,0,0,0,26,17,11,60.7,Matches
829,Federico Zaracho,ar ARG,MF,br Atlético Mineiro,24,1998,5.8,0,0,0,7,8,2,2,5,7,0,0,0,33,5,14,26.3,Matches
830,Exequiel Zeballos,ar ARG,"FW,DF",ar Boca Juniors,20,2002,1.6,1,0,0,0,2,0,14,2,0,0,0,0,12,0,0,,Matches
831,Matías Zunino,uy URU,MF,uy Liverpool,32,1990,0.2,2,0,0,4,0,0,0,1,0,0,0,0,0,1,2,33.3,Matches