Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Teresa Abelleira,MF,es Spain,23,2000,6.7,0,0,0,9,10,0,55,9,10,0,0,0,70,28,14,66.7,Matches
2,Deborah Abiodun,MF,ng Nigeria,19,2003,1.0,0,1,0,2,0,0,0,1,5,0,0,0,11,1,2,33.3,Matches
3,Adriana,MF,br Brazil,26,1996,2.9,0,0,0,0,4,0,7,1,3,0,0,0,21,4,2,66.7,Matches
4,Lily Agg,MF,ie Rep. of Ireland,29,1993,1.2,0,0,0,4,3,0,0,1,1,0,0,0,11,3,4,42.9,Matches
5,Eseosa Aigbogun,DF,ch Switzerland,30,1993,3.5,0,0,0,4,1,1,8,1,7,0,0,0,30,2,6,25.0,Matches
6,Rasheedat Ajibade,FW,ng Nigeria,23,1999,3.3,0,0,0,4,3,0,21,3,4,0,0,0,20,6,1,85.7,Matches
7,Michelle Alozie,DF,ng Nigeria,26,1997,4.3,1,0,0,5,3,0,7,3,5,0,0,0,18,1,8,11.1,Matches
8,Katherine Alvarado,MF,cr Costa Rica,32,1991,3.0,1,0,0,3,2,0,8,5,3,0,1,0,21,2,4,33.3,Matches
9,Lúcia Alves,DF,pt Portugal,25,1997,1.1,0,0,0,4,3,0,4,1,4,0,0,0,8,2,0,100.0,Matches
10,Catarina Amado,DF,pt Portugal,23,1999,1.8,1,0,0,2,1,0,1,4,6,0,0,0,9,1,0,100.0,Matches
11,Salma Amani,FW,ma Morocco,33,1989,1.2,0,0,0,3,0,0,0,0,3,0,0,0,5,1,7,12.5,Matches
12,Jonna Andersson,DF,se Sweden,30,1993,6.3,0,0,0,7,2,0,33,8,3,0,0,0,36,4,11,26.7,Matches
13,Lady Andrade,FW,co Colombia,31,1992,0.6,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,,Matches
14,Ivana Andrés,DF,es Spain,28,1994,2.7,0,0,0,2,0,0,0,1,0,0,0,0,14,4,4,50.0,Matches
15,Andressa,FW,br Brazil,30,1992,0.4,0,0,0,0,1,0,4,0,1,0,0,0,2,1,3,25.0,Matches
16,Filippa Angeldahl,MF,se Sweden,25,1997,5.8,0,0,0,13,6,0,4,7,10,0,0,0,49,4,9,30.8,Matches
17,Nguyễn Thị Mỹ Anh,"DF,MF",vn Vietnam,28,1994,1.0,0,0,0,0,1,0,3,0,2,0,0,0,6,1,1,50.0,Matches
18,Tahnai Annis,DF,ph Philippines,33,1989,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
19,Antônia,DF,br Brazil,29,1994,2.5,0,0,0,4,1,0,10,6,6,0,0,0,16,3,1,75.0,Matches
20,Nicole Anyomi,FW,de Germany,23,2000,0.5,1,0,0,1,0,0,2,0,1,0,0,0,6,0,1,0.0,Matches
21,Carolina Arias,DF,co Colombia,32,1990,4.1,1,0,0,2,2,2,2,7,4,0,0,0,37,3,5,37.5,Matches
22,Daniela Arias,DF,co Colombia,28,1994,5.0,1,0,0,6,1,0,0,5,12,0,1,0,29,16,9,64.0,Matches
23,Mackenzie Arnold,GK,au Australia,29,1994,7.3,1,0,0,0,3,0,0,0,0,0,0,0,6,3,0,100.0,Matches
24,Ary Borges,MF,br Brazil,23,1999,2.3,0,0,0,0,6,0,7,0,4,0,0,0,13,5,5,50.0,Matches
25,Kosovare Asllani,MF,se Sweden,33,1989,5.1,1,0,0,11,8,0,17,2,7,0,0,0,32,2,11,15.4,Matches
26,Viviane Asseyi,"FW,MF",fr France,29,1993,0.5,0,0,0,2,1,1,1,0,4,0,0,0,4,1,1,50.0,Matches
27,Izzy Atkinson,"MF,DF",ie Rep. of Ireland,21,2001,0.3,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,,Matches
28,Rosella Ayane,FW,ma Morocco,27,1996,1.5,0,0,0,2,2,2,0,0,0,0,0,0,7,1,2,33.3,Matches
29,Halimatu Ayinde,MF,ng Nigeria,28,1995,2.8,0,0,0,4,4,0,0,2,6,0,0,0,15,2,3,40.0,Matches
30,Selma Bacha,MF,fr France,22,2000,3.8,0,0,0,2,10,0,36,4,8,0,0,0,30,3,0,100.0,Matches
31,Ramona Bachmann,"MF,FW",ch Switzerland,32,1990,3.7,1,0,0,6,4,0,10,0,4,0,0,0,16,1,3,25.0,Matches
32,Najat Badri,MF,ma Morocco,35,1988,0.2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,,Matches
33,Jill Baijings,FW,nl Netherlands,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
34,Yenith Bailey,GK,pa Panama,22,2001,3.0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0,Matches
35,Stine Ballisager Pedersen,DF,dk Denmark,29,1994,2.8,0,0,0,2,0,0,0,2,2,0,0,0,20,5,3,62.5,Matches
36,Carina Baltrip-Reyes,DF,pa Panama,24,1998,3.0,0,0,0,0,0,0,0,5,5,0,0,0,12,3,3,50.0,Matches
37,Barbra Banda,FW,zm Zambia,23,2000,3.0,1,0,0,6,5,3,7,0,3,1,0,0,10,6,4,60.0,Matches
38,Susan Banda,MF,zm Zambia,28,1995,2.4,0,0,0,5,0,0,5,1,3,0,0,0,18,2,5,28.6,Matches
39,Estefanía Banini,"MF,FW",ar Argentina,32,1990,3.0,0,0,0,1,7,0,4,2,3,0,0,0,26,0,2,0.0,Matches
40,Alicia Barker,DF,ph Philippines,25,1998,2.4,0,0,0,1,1,0,1,6,2,0,0,1,8,2,2,50.0,Matches
41,Amber Barrett,FW,ie Rep. of Ireland,27,1996,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
42,Elisa Bartoli,DF,it Italy,32,1991,0.3,0,0,0,0,1,0,0,0,3,0,0,0,5,0,1,0.0,Matches
43,Ona Batlle,DF,es Spain,24,1999,6.8,0,0,0,5,2,0,26,12,18,0,0,0,66,7,6,53.8,Matches
44,Angela Beard,DF,ph Philippines,25,1997,3.0,1,0,0,1,2,0,8,2,3,0,0,0,16,2,6,25.0,Matches
45,Beatriz,"FW,MF",br Brazil,29,1993,1.3,0,0,0,1,2,0,1,0,3,0,0,0,5,4,2,66.7,Matches
46,Chiara Beccari,FW,it Italy,18,2004,2.7,0,0,0,1,7,0,1,2,0,1,0,0,7,9,7,56.3,Matches
47,Vicki Bècho,"MF,FW",fr France,19,2003,2.5,0,0,0,2,4,0,15,1,6,0,0,0,13,3,6,33.3,Matches
48,Lorena Bedoya,MF,co Colombia,25,1997,4.9,1,0,0,4,5,0,2,5,13,0,0,0,52,13,13,50.0,Matches
49,Lineth Beerensteyn,FW,nl Netherlands,26,1996,3.3,0,0,0,2,6,3,2,0,0,0,0,0,9,6,9,40.0,Matches
50,Margaret Belemu,DF,zm Zambia,26,1997,3.0,0,0,0,1,3,0,4,3,4,0,0,0,37,2,2,50.0,Matches
51,Mariana Benavides,DF,cr Costa Rica,28,1994,3.0,1,0,0,1,1,0,0,4,1,0,0,0,11,1,2,33.3,Matches
52,Lorena Benítez,MF,ar Argentina,24,1998,1.5,0,0,0,0,1,0,1,1,1,0,0,0,12,0,2,0.0,Matches
53,Hanna Bennison,MF,se Sweden,20,2002,1.6,0,0,0,1,1,0,2,1,1,0,0,0,10,0,2,0.0,Matches
54,Nouhaila Benzina,DF,ma Morocco,25,1998,3.0,1,0,0,3,2,0,0,9,0,0,0,0,26,4,8,33.3,Matches
55,Guro Bergsvand,DF,no Norway,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
56,Kholosa Biyana,MF,za South Africa,28,1994,2.3,2,0,0,9,1,0,5,1,6,0,0,0,26,3,4,42.9,Matches
57,Thea Bjelde,DF,no Norway,23,2000,3.7,0,0,0,1,1,0,3,9,7,0,0,0,15,1,3,25.0,Matches
58,Nathalie Björn,DF,se Sweden,26,1997,6.3,0,0,0,6,1,1,7,4,13,0,0,0,57,6,7,46.2,Matches
59,Stina Blackstenius,FW,se Sweden,27,1996,5.5,0,0,0,3,6,3,4,0,2,1,0,0,13,9,8,52.9,Matches
60,Deneisha Blackwood,DF,jm Jamaica,26,1997,4.0,1,0,0,3,1,0,16,8,7,0,0,0,35,3,2,60.0,Matches
61,Julie Blakstad,FW,no Norway,21,2001,0.6,0,0,0,3,1,1,2,1,1,0,0,0,3,2,4,33.3,Matches
62,Rebecka Blomqvist,FW,se Sweden,25,1997,1.8,0,0,0,4,6,0,1,0,0,1,0,0,2,1,4,20.0,Matches
63,Lisa Boattin,DF,it Italy,26,1997,3.0,0,0,0,4,7,1,11,8,5,0,0,0,34,5,5,50.0,Matches
64,Sarina Bolden,FW,ph Philippines,26,1996,2.6,0,0,0,2,2,1,1,2,2,0,0,0,10,7,11,38.9,Matches
65,Barbara Bonansea,FW,it Italy,32,1991,2.3,1,0,0,3,5,0,5,2,3,0,0,0,11,7,3,70.0,Matches
66,Aitana Bonmatí,MF,es Spain,25,1998,6.5,0,0,0,4,2,0,12,3,7,0,0,0,51,5,4,55.6,Matches
67,Florencia Bonsegundo,"FW,MF",ar Argentina,29,1993,2.4,1,0,0,6,10,0,3,4,2,0,0,0,14,3,2,60.0,Matches
68,Roselord Borgella,"FW,MF",ht Haiti,30,1993,2.1,0,0,0,1,1,0,3,1,0,0,0,0,4,6,8,42.9,Matches
69,Ana Borges,DF,pt Portugal,32,1990,3.0,1,0,0,5,1,0,4,6,7,0,0,0,38,3,1,75.0,Matches
70,CJ Bott,DF,nz New Zealand,28,1995,3.0,0,0,0,2,5,0,11,4,9,0,0,0,26,11,3,78.6,Matches
71,Sofia Bouftini,MF,ma Morocco,21,2002,0.4,0,0,0,1,0,0,1,2,1,0,0,0,6,0,0,,Matches
72,Katie Bowen,DF,nz New Zealand,29,1994,3.0,0,0,0,0,3,0,3,4,2,0,0,0,37,5,6,45.5,Matches
73,Simone Boye Sørensen,DF,dk Denmark,31,1992,4.0,0,0,0,2,1,1,0,1,3,0,0,0,25,13,6,68.4,Matches
74,Jule Brand,FW,de Germany,20,2002,2.9,0,0,0,6,4,0,2,2,2,0,0,0,16,4,2,66.7,Matches
75,Marit Bratberg Lund,DF,no Norway,25,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
76,Sophia Braun,"MF,DF",ar Argentina,23,2000,3.0,0,0,0,2,3,0,2,5,6,0,0,0,20,5,6,45.5,Matches
77,Millie Bright,DF,eng England,29,1993,7.3,0,0,0,4,1,0,0,10,3,0,0,0,38,25,16,61.0,Matches
78,Lucy Bronze,DF,eng England,31,1991,7.1,1,0,0,9,6,1,22,16,12,0,1,0,54,26,13,66.7,Matches
79,Courtney Brosnan,GK,ie Rep. of Ireland,27,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
80,Jody Brown,MF,jm Jamaica,21,2002,3.7,0,0,0,0,2,0,1,4,5,0,0,0,21,2,8,20.0,Matches
81,Esmee Brugts,FW,nl Netherlands,19,2003,4.8,0,0,0,4,4,2,9,12,8,0,0,0,38,1,1,50.0,Matches
82,Bruninha,DF,br Brazil,20,2002,0.4,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,,Matches
83,Signe Bruun,FW,dk Denmark,25,1998,0.9,0,0,0,3,2,0,0,1,0,0,0,0,5,3,3,50.0,Matches
84,Kadeisha Buchanan,DF,ca Canada,27,1995,2.5,1,0,0,1,5,0,0,7,1,0,0,0,24,5,3,62.5,Matches
85,Ryley Bugay,"MF,DF",ph Philippines,27,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,75.0,Matches
86,Klara Bühl,FW,de Germany,22,2000,2.2,0,0,0,1,0,2,20,2,1,0,0,0,18,0,3,0.0,Matches
87,Luana Bühler,DF,ch Switzerland,27,1996,1.0,0,0,0,0,0,0,0,1,2,0,0,0,10,1,3,25.0,Matches
88,Claudia Bunge,DF,nz New Zealand,23,1999,0.6,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,50.0,Matches
89,Vilde Bøe Risa,MF,no Norway,27,1995,2.8,1,0,0,1,1,0,5,1,1,0,0,0,36,9,4,69.2,Matches
90,Linda Caicedo,FW,co Colombia,18,2005,5.0,0,0,0,0,10,3,7,4,2,0,0,0,43,0,1,0.0,Matches
91,Mariona Caldentey,FW,es Spain,27,1996,5.0,0,0,0,3,3,0,12,3,8,0,0,0,45,3,1,75.0,Matches
92,Diane Caldwell,DF,ie Rep. of Ireland,34,1988,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
93,Viola Calligaris,"DF,MF",ch Switzerland,27,1996,0.6,0,0,0,1,2,0,0,6,3,0,0,0,6,0,0,,Matches
94,Tiffany Cameron,"DF,MF",jm Jamaica,31,1991,1.7,0,0,0,2,0,0,5,2,3,0,0,0,18,3,4,42.9,Matches
95,Sofia Cantore,FW,it Italy,23,1999,1.3,0,0,0,2,5,0,2,0,0,0,0,0,5,1,1,50.0,Matches
96,Ana Capeta,"FW,MF",pt Portugal,25,1997,0.3,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,,Matches
97,Jorelyn Carabalí,DF,co Colombia,26,1997,5.0,0,0,0,3,1,1,0,6,4,0,0,0,44,8,13,38.1,Matches
98,Olga Carmona,DF,es Spain,23,2000,4.8,1,0,0,5,9,1,17,9,7,1,0,0,40,6,7,46.2,Matches
99,Ellie Carpenter,DF,au Australia,23,2000,7.1,0,0,0,4,4,1,20,8,7,0,0,0,52,7,6,53.8,Matches
100,Jess Carter,DF,eng England,25,1997,6.3,0,0,0,2,5,0,2,6,11,0,0,0,48,7,9,43.8,Matches
101,Trudi Carter,MF,jm Jamaica,28,1994,1.4,0,0,0,6,2,1,10,2,2,0,0,0,4,1,3,25.0,Matches
102,Kyra Carusa,FW,ie Rep. of Ireland,27,1995,2.7,0,0,0,4,2,1,1,0,2,0,0,0,7,6,8,42.9,Matches
103,Arianna Caruso,MF,it Italy,23,1999,2.3,1,0,0,4,3,1,1,4,0,0,0,0,16,5,1,83.3,Matches
104,Estelle Cascarino,DF,fr France,26,1997,2.1,0,0,0,4,0,0,2,4,3,0,0,0,19,2,5,28.6,Matches
105,Kerstin Casparij,"FW,DF",nl Netherlands,22,2000,0.8,0,0,0,3,1,0,3,0,2,0,0,0,8,0,0,,Matches
106,Katherine Castillo,DF,pa Panama,27,1996,2.0,0,0,0,1,0,0,7,4,3,0,0,0,16,0,1,0.0,Matches
107,Steph Catley,DF,au Australia,29,1994,7.3,0,0,0,5,5,0,50,6,4,0,0,0,36,10,7,58.8,Matches
108,Emily Cedeño,"FW,MF",pa Panama,19,2003,2.0,1,0,0,1,4,0,4,0,4,0,0,0,13,1,2,33.3,Matches
109,Lineth Cedeño,FW,pa Panama,22,2000,1.3,0,0,0,0,2,2,0,0,1,0,0,0,8,4,3,57.1,Matches
110,Valentina Cernoia,MF,it Italy,31,1991,0.2,0,0,0,1,1,0,1,0,2,0,0,0,3,0,0,,Matches
111,Noxolo Cesane,MF,za South Africa,22,2000,0.6,0,0,0,3,0,0,0,0,1,0,0,0,5,0,1,0.0,Matches
112,Ivonne Chacón,"MF,FW",co Colombia,25,1997,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
113,Nesryne El Chad,DF,ma Morocco,20,2003,3.1,0,0,0,0,1,0,1,4,2,0,0,0,24,4,8,33.3,Matches
114,Kang Chae-rim,"FW,MF",kr Korea Republic,25,1998,0.3,0,0,0,1,0,0,1,0,2,0,0,0,2,1,0,100.0,Matches
115,Olivia Chance,"FW,MF",nz New Zealand,29,1993,1.0,0,0,0,1,0,0,10,0,0,0,0,0,8,0,0,,Matches
116,Hellen Chanda,MF,zm Zambia,24,1998,1.0,0,0,0,3,0,0,0,0,3,0,0,0,5,1,1,50.0,Matches
117,Allysha Chapman,DF,ca Canada,34,1989,0.7,0,0,0,1,0,0,3,1,0,0,0,0,5,2,0,100.0,Matches
118,Niamh Charles,"DF,MF",eng England,23,1999,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
119,Gabriela Chávez,DF,ar Argentina,34,1989,0.2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,,Matches
120,Ghizlane Chebbak,MF,ma Morocco,32,1990,4.0,1,0,0,6,4,0,14,4,6,0,0,0,41,4,5,44.4,Matches
121,Gao Chen,DF,cn China PR,30,1992,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
122,Wu Chengshu,"FW,MF",cn China PR,26,1996,2.5,0,0,0,2,5,1,0,1,1,0,0,0,16,5,9,35.7,Matches
123,Remina Chiba,MF,jp Japan,24,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
124,Alex Chidiac,MF,au Australia,24,1999,0.3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,Matches
125,Priscila Chinchilla,"FW,MF",cr Costa Rica,21,2001,3.0,1,0,0,6,5,1,6,2,2,0,0,0,18,1,8,11.1,Matches
126,Avell Chitundu,"MF,FW",zm Zambia,25,1997,1.7,0,0,0,0,0,0,3,2,3,0,0,0,6,2,3,40.0,Matches
127,Lene Christensen,GK,dk Denmark,23,2000,4.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0,Matches
128,Laia Codina,DF,es Spain,23,2000,3.6,0,0,0,4,2,0,0,4,2,0,0,1,24,4,6,40.0,Matches
129,Cata Coll,GK,es Spain,22,2001,4.3,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,100.0,Matches
130,Aldana Cometti,DF,ar Argentina,27,1996,3.0,0,0,0,4,5,0,0,7,5,0,0,0,24,4,5,44.4,Matches
131,Megan Connolly,DF,ie Rep. of Ireland,26,1997,3.0,0,0,0,0,0,0,8,1,0,0,0,1,17,0,1,0.0,Matches
132,Laura Coombs,MF,eng England,32,1991,1.1,0,0,0,1,1,0,0,0,0,0,0,0,8,1,2,33.3,Matches
133,Kyra Cooney-Cross,MF,au Australia,21,2002,7.3,0,0,0,4,5,0,23,1,10,0,0,0,46,14,8,63.6,Matches
134,Vanina Correa,GK,ar Argentina,39,1983,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
135,Carole Costa,DF,pt Portugal,33,1990,3.0,1,0,0,1,0,0,2,2,0,0,0,0,24,4,1,80.0,Matches
136,María Coto,"DF,MF",cr Costa Rica,25,1998,3.0,0,0,0,2,5,0,0,3,4,0,0,0,11,13,3,81.3,Matches
137,Jessika Cowart,DF,ph Philippines,23,1999,2.9,0,0,0,2,0,0,0,3,1,0,1,0,22,6,5,54.5,Matches
138,Marta Cox,"MF,FW",pa Panama,25,1997,2.9,0,0,0,4,6,0,15,3,6,0,0,0,23,6,5,54.5,Matches
139,Ana-Maria Crnogorčević,"FW,MF",ch Switzerland,32,1990,4.0,0,0,0,3,2,0,4,1,3,0,0,0,22,16,10,61.5,Matches
140,Julieta Cruz,DF,ar Argentina,27,1996,1.3,0,0,0,0,0,0,0,2,5,0,0,0,3,2,2,50.0,Matches
141,Sara Däbritz,MF,de Germany,28,1995,2.7,0,0,0,2,3,1,3,0,3,0,0,0,15,7,3,70.0,Matches
142,Kenza Dali,MF,fr France,31,1991,3.6,1,0,0,7,2,0,29,5,1,0,0,0,15,3,3,50.0,Matches
143,Rachel Daly,DF,eng England,31,1991,6.0,0,0,0,5,8,0,10,10,8,0,0,0,44,12,7,63.2,Matches
144,Élisa De Almeida,DF,fr France,25,1998,3.3,0,0,0,5,3,0,5,7,7,0,1,0,24,5,2,71.4,Matches
145,Debinha,FW,br Brazil,31,1991,2.6,0,0,0,0,1,2,10,2,1,0,0,0,21,1,2,33.3,Matches
146,Valeria del Campo,DF,cr Costa Rica,23,2000,2.0,1,0,0,1,1,0,1,4,5,0,0,1,12,1,2,33.3,Matches
147,Athenea del Castillo,FW,es Spain,22,2000,0.9,0,0,0,1,1,0,3,0,0,0,0,0,4,1,1,50.0,Matches
148,Blessing Demehin,DF,ng Nigeria,21,2002,4.3,1,0,0,2,0,0,0,2,5,0,0,0,22,2,5,28.6,Matches
149,Savannah Demelo,MF,us USA,25,1998,1.2,0,0,0,3,8,0,9,0,4,0,0,0,14,0,0,,Matches
150,Stefanie van der Gragt,DF,nl Netherlands,30,1992,4.7,0,0,0,4,0,0,0,1,4,0,1,0,32,15,5,75.0,Matches
151,Karabo Dhlamini,DF,za South Africa,21,2001,3.0,0,0,0,2,2,0,6,2,6,0,1,0,21,2,2,50.0,Matches
152,Lucia Di Guglielmo,DF,it Italy,25,1997,2.3,0,0,0,3,0,0,2,5,4,0,0,0,11,2,2,50.0,Matches
153,Kadidiatou Diani,FW,fr France,28,1995,5.0,0,0,0,6,0,4,13,0,6,0,0,0,14,9,19,32.1,Matches
