Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
309,Cloé Lacasse,FW,ca Canada,29,1993,1.4,0,0,0,0,2,0,5,0,0,0,0,0,17,3,0,100.0,Matches
310,Anissa Lahmari,FW,ma Morocco,26,1997,2.2,0,0,0,1,3,3,1,1,5,0,0,0,11,8,6,57.1,Matches
311,Maëlle Lakrar,DF,fr France,23,2000,4.3,0,0,0,5,1,1,5,6,8,0,0,0,27,13,6,68.4,Matches
312,Abbie Larkin,"FW,MF",ie Rep. of Ireland,18,2005,0.9,0,0,0,0,2,0,5,0,1,0,0,0,4,1,1,50.0,Matches
313,Mariana Larroquette,FW,ar Argentina,30,1992,2.6,1,0,0,2,3,1,1,2,2,0,0,0,15,8,14,36.4,Matches
314,Lena Lattwein,MF,de Germany,23,2000,0.6,0,0,0,2,0,0,1,0,2,0,0,0,3,3,2,60.0,Matches
315,Lauren,DF,br Brazil,20,2002,2.0,0,0,0,0,1,0,0,2,2,0,0,0,11,6,3,66.7,Matches
316,Rose Lavelle,MF,us USA,28,1995,1.8,2,0,0,6,2,1,12,2,3,0,0,0,15,5,7,41.7,Matches
317,Ashley Lawrence,DF,ca Canada,28,1995,3.0,1,0,0,2,1,0,5,0,2,0,0,0,14,2,1,66.7,Matches
318,Léa Le Garrec,MF,fr France,29,1993,1.0,0,0,0,3,0,0,7,2,2,0,0,0,14,0,1,0.0,Matches
319,Eugénie Le Sommer,FW,fr France,34,1989,3.9,0,0,0,4,7,1,3,0,4,0,0,0,26,5,13,27.8,Matches
320,Alisha Lehmann,MF,ch Switzerland,24,1999,0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
321,Stina Lennartsson,DF,se Sweden,26,1997,1.0,0,0,0,5,0,0,1,0,3,0,0,0,8,0,0,,Matches
322,Martina Lenzini,DF,it Italy,24,1998,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Matches
323,Adriana Leon,FW,ca Canada,30,1992,2.0,0,0,0,1,1,0,13,2,2,0,0,0,8,0,2,0.0,Matches
324,Letícia Izidoro,GK,br Brazil,28,1994,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0,Matches
325,Melanie Leupolz,MF,de Germany,29,1994,0.7,0,0,0,0,0,0,1,3,2,0,0,0,5,2,3,40.0,Matches
326,Jennyfer Limage,DF,ht Haiti,25,1997,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
327,Yang Lina,MF,cn China PR,29,1994,3.0,0,0,0,3,2,1,0,0,5,0,0,0,31,7,7,50.0,Matches
328,Elena Linari,DF,it Italy,29,1994,3.0,0,0,0,1,3,0,0,6,5,0,0,0,29,7,4,63.6,Matches
329,Yao Lingwei,MF,cn China PR,27,1995,1.9,0,0,0,1,0,0,2,2,1,0,0,0,8,1,2,33.3,Matches
330,Trần Thị Hải Linh,MF,vn Vietnam,22,2001,2.3,0,0,0,3,1,0,0,2,2,0,0,0,8,1,7,12.5,Matches
331,Wang Linlin,FW,cn China PR,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
332,Zhang Linyan,"MF,FW",cn China PR,22,2001,3.0,0,0,0,2,8,0,3,2,5,1,0,0,24,1,3,25.0,Matches
333,Ruesha Littlejohn,MF,ie Rep. of Ireland,32,1990,2.7,0,0,0,2,1,0,1,0,4,0,0,0,19,4,3,57.1,Matches
334,Sydney Lohmann,FW,de Germany,22,2000,0.3,0,0,0,0,1,0,2,1,1,0,0,0,6,2,1,66.7,Matches
335,Hali Long,DF,ph Philippines,28,1995,3.0,0,0,0,0,4,0,0,4,1,0,0,0,21,8,6,57.1,Matches
336,Annalie Longo,MF,nz New Zealand,31,1991,1.2,0,0,0,3,0,1,0,2,2,0,0,0,8,1,0,100.0,Matches
337,Érica Lonigro,FW,ar Argentina,28,1994,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
338,Batcheba Louis,FW,ht Haiti,25,1997,2.7,0,0,0,2,5,2,0,1,6,0,1,0,10,13,10,56.5,Matches
339,Kethna Louis,DF,ht Haiti,26,1996,3.0,0,0,0,2,2,0,4,2,5,0,0,0,28,7,2,77.8,Matches
340,Luana,MF,br Brazil,30,1993,2.7,1,0,0,7,2,0,1,5,6,0,0,0,25,8,3,72.7,Matches
341,Ireen Lungu,MF,zm Zambia,25,1997,1.8,0,0,0,0,2,0,2,2,0,0,0,0,7,0,0,,Matches
342,Frida Maanum,MF,no Norway,23,1999,2.9,0,0,0,4,1,0,7,0,1,0,0,0,14,6,2,75.0,Matches
343,Rikke Madsen,"FW,DF",dk Denmark,25,1997,2.4,0,0,0,2,0,2,4,2,3,0,0,0,18,2,3,40.0,Matches
344,Hildah Magaia,"FW,MF",za South Africa,28,1994,3.6,0,0,0,0,2,1,10,5,3,0,0,0,23,3,6,33.3,Matches
345,Lina Magull,MF,de Germany,28,1994,1.4,0,0,0,0,5,0,1,1,2,0,0,0,9,0,1,0.0,Matches
346,Amel Majri,MF,fr France,30,1993,1.2,0,0,0,2,1,0,16,1,1,0,0,0,8,0,2,0.0,Matches
347,Tiisetso Makhubela,"DF,MF",za South Africa,26,1997,1.0,1,0,0,3,1,0,0,4,0,0,0,0,13,2,3,40.0,Matches
348,Xiomara Mapepa,"MF,FW",zm Zambia,,,1.3,0,0,0,0,1,0,3,1,1,0,0,0,8,0,1,0.0,Matches
349,Joana Marchão,DF,pt Portugal,26,1996,1.0,0,0,0,0,2,0,10,0,0,0,0,0,4,2,0,100.0,Matches
350,Noelle Maritz,DF,ch Switzerland,27,1995,4.0,1,0,0,2,1,0,4,3,3,0,0,0,23,0,1,0.0,Matches
351,Marta,"FW,MF",br Brazil,37,1986,1.1,0,0,0,1,1,0,6,0,1,0,0,0,7,1,4,20.0,Matches
352,Lieke Martens,FW,nl Netherlands,30,1992,5.3,0,0,0,2,2,2,13,1,7,0,0,0,34,13,12,52.0,Matches
353,Lara Marti,DF,ch Switzerland,23,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
354,Clara Matéo,"FW,MF",fr France,25,1997,1.7,1,0,0,2,1,1,12,2,1,0,0,0,6,5,0,100.0,Matches
355,Ruthny Mathurin,DF,ht Haiti,22,2001,1.6,0,0,0,2,1,0,3,4,6,0,1,0,6,0,1,0.0,Matches
356,Noko Matlou,DF,za South Africa,37,1985,2.0,0,0,0,1,0,0,0,4,3,0,0,0,13,3,9,25.0,Matches
357,Cheyna Matthews,"MF,FW",jm Jamaica,29,1993,1.6,1,0,0,5,2,0,1,0,1,0,0,0,16,3,7,30.0,Matches
358,Sandrine Mauron,MF,ch Switzerland,26,1996,0.9,0,0,0,1,3,1,1,2,0,0,0,0,4,1,3,25.0,Matches
359,Miriam Mayorga,DF,ar Argentina,33,1989,2.0,2,0,0,4,1,0,0,7,1,0,0,0,13,3,0,100.0,Matches
360,Bambanani Mbane,DF,za South Africa,33,1990,3.5,0,0,0,3,3,0,0,5,6,0,0,0,35,4,4,50.0,Matches
361,Katie McCabe,"MF,DF",ie Rep. of Ireland,27,1995,3.0,2,0,0,3,6,0,20,1,5,0,0,0,16,3,2,60.0,Matches
362,Chandler McDaniel,FW,ph Philippines,25,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
363,Olivia McDaniel,GK,ph Philippines,25,1997,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches
364,Kayla McKenna,FW,jm Jamaica,26,1996,0.9,0,0,0,3,2,1,0,0,0,0,0,0,2,1,2,33.3,Matches
365,Peyton McNamara,MF,jm Jamaica,21,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,80.0,Matches
366,Carolina Mendes,FW,pt Portugal,35,1987,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
367,Li Mengwen,DF,cn China PR,28,1995,2.8,0,0,0,2,1,0,5,2,5,0,0,0,17,3,1,75.0,Matches
368,Shen Mengyu,"MF,FW",cn China PR,21,2001,0.2,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,,Matches
369,Kristie Mewis,MF,us USA,32,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
370,Moon Mi-ra,"DF,FW",kr Korea Republic,31,1992,0.6,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,25.0,Matches
371,Aurora Mikalsen,GK,no Norway,27,1996,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,100.0,Matches
372,Natalia Mills,"MF,FW",pa Panama,30,1993,0.7,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,100.0,Matches
373,Moeka Minami,DF,jp Japan,24,1998,5.0,0,0,0,3,1,0,0,5,6,0,0,0,35,6,6,50.0,Matches
374,Shiori Miyake,DF,jp Japan,27,1995,1.0,0,0,0,0,1,0,0,2,0,0,0,0,9,6,1,85.7,Matches
375,Hinata Miyazawa,"FW,MF",jp Japan,23,1999,3.7,0,0,0,1,3,1,5,7,6,0,0,0,27,0,1,0.0,Matches
376,Maren Mjelde,DF,no Norway,33,1989,4.0,0,0,0,2,3,0,0,8,4,0,0,0,37,3,2,60.0,Matches
377,Gift Monday,FW,ng Nigeria,21,2001,0.3,0,0,0,1,0,0,1,1,2,0,0,0,2,0,1,0.0,Matches
378,Nérilia Mondésir,FW,ht Haiti,24,1999,3.0,0,0,0,3,5,4,13,1,0,0,0,0,11,0,4,0.0,Matches
379,Mônica,DF,br Brazil,45,1978,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
380,Carmen Montenegro,"MF,DF",pa Panama,22,2000,0.9,0,0,0,0,1,0,0,1,1,0,0,0,5,2,5,28.6,Matches
381,Daniela Montoya,MF,co Colombia,32,1990,2.4,0,0,0,5,3,0,0,1,1,0,0,0,13,2,9,18.2,Matches
382,Robyn Moodaly,MF,za South Africa,28,1994,0.5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,Matches
383,Patrícia Morais,GK,pt Portugal,30,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
384,Alex Morgan,FW,us USA,33,1989,3.8,0,0,0,4,4,5,5,5,2,0,0,0,13,14,13,51.9,Matches
385,Miyabi Moriya,"MF,DF",jp Japan,26,1996,0.4,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,,Matches
386,Maudeline Moryl,MF,ht Haiti,20,2003,0.5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
387,Linda Motlhalo,"MF,FW",za South Africa,24,1998,3.6,0,0,0,0,5,1,2,2,3,0,0,0,25,4,8,33.3,Matches
388,Yasmin Mrabet,DF,ma Morocco,23,1999,0.9,0,0,0,0,1,0,0,0,1,0,0,1,5,1,0,100.0,Matches
389,Hellen Mubanga,MF,zm Zambia,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
390,Agness Musase,DF,zm Zambia,25,1997,3.0,0,0,0,1,0,0,0,4,1,0,0,0,10,0,2,0.0,Matches
391,Catherine Musonda,GK,zm Zambia,25,1998,2.0,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0.0,Matches
392,Zećira Mušović,GK,se Sweden,27,1996,6.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
393,Lushomo Mweemba,DF,zm Zambia,22,2001,2.7,0,0,0,1,0,0,0,1,2,0,0,0,25,4,1,80.0,Matches
394,Lê Thị Diễm My,DF,vn Vietnam,26,1996,3.0,0,0,0,0,4,0,0,5,6,0,0,0,26,1,1,50.0,Matches
395,Alyssa Naeher,GK,us USA,35,1988,4.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
396,Fūka Nagano,MF,jp Japan,24,1999,3.7,0,0,0,2,5,0,0,2,0,0,1,0,40,1,5,16.7,Matches
397,Élodie Nakkach,MF,ma Morocco,28,1995,3.5,0,0,0,5,4,0,0,4,6,0,0,0,35,1,5,16.7,Matches
398,Hikaru Naomoto,"MF,FW",jp Japan,29,1994,2.0,0,0,0,2,6,1,7,2,2,0,0,0,10,2,4,33.3,Matches
399,Wendy Natis,DF,pa Panama,20,2002,2.2,0,0,0,6,1,0,0,3,3,0,1,0,18,4,2,66.7,Matches
400,Eva Navarro,FW,es Spain,22,2001,1.6,0,0,0,3,5,1,11,1,1,0,0,0,13,0,1,0.0,Matches
401,Kika Nazareth,MF,pt Portugal,20,2002,1.7,0,0,0,2,2,2,1,1,4,0,0,0,19,2,3,40.0,Matches
402,Courtney Nevin,DF,au Australia,21,2002,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
403,Nguyễn Thị Thanh Nhã,MF,vn Vietnam,21,2001,2.0,0,0,0,1,4,0,2,2,5,0,0,0,7,1,7,12.5,Matches
404,Huỳnh Như,FW,vn Vietnam,31,1991,2.0,1,0,0,2,4,1,1,1,0,0,0,0,11,2,5,28.6,Matches
405,Chiamaka Nnadozie,GK,ng Nigeria,22,2000,4.3,0,0,0,0,2,0,0,0,0,0,0,0,7,7,1,87.5,Matches
406,Andreia Norton,MF,pt Portugal,26,1996,2.0,0,0,0,9,3,0,4,1,1,0,0,0,13,4,1,80.0,Matches
407,Aniek Nouwen,DF,nl Netherlands,24,1999,0.9,0,0,0,3,0,0,0,1,1,0,0,0,6,4,2,66.7,Matches
408,Romina Núñez,"MF,FW",ar Argentina,29,1994,2.3,0,0,0,3,12,0,9,1,5,0,0,0,17,1,4,20.0,Matches
409,Sjoeke Nüsken,DF,de Germany,22,2001,0.5,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,,Matches
410,Áine O'Gorman,MF,ie Rep. of Ireland,34,1989,0.6,0,0,0,0,1,0,2,1,1,0,0,0,4,0,3,0.0,Matches
411,Kelley O'Hara,DF,us USA,34,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
412,Denise O'Sullivan,MF,ie Rep. of Ireland,29,1994,3.0,1,0,0,5,1,0,2,3,6,0,0,0,33,4,8,33.3,Matches
413,Lena Oberdorf,MF,de Germany,21,2001,2.0,1,0,0,5,7,0,0,6,5,1,0,0,14,9,3,75.0,Matches
414,Glory Ogbonna,DF,ng Nigeria,24,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
415,Osinachi Ohale,DF,ng Nigeria,31,1991,4.3,0,0,0,1,1,0,0,1,2,0,0,0,18,3,4,42.9,Matches
416,Esther Okoronkwo,FW,ng Nigeria,26,1997,0.4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,5,16.7,Matches
417,Ifeoma Onumonu,FW,ng Nigeria,29,1994,2.5,0,0,0,6,0,1,2,3,1,0,0,0,13,4,9,30.8,Matches
418,Desire Oparanozie,FW,ng Nigeria,29,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
419,Francisca Ordega,"FW,MF",ng Nigeria,29,1993,1.2,0,0,0,4,0,0,3,0,4,0,1,0,6,1,2,33.3,Matches
420,Benedetta Orsi,DF,it Italy,23,2000,1.0,0,0,0,2,0,0,0,1,0,0,0,1,8,1,0,100.0,Matches
421,Ochumba Oseke,MF,zm Zambia,21,2001,0.4,1,0,0,2,0,0,1,0,1,0,0,0,1,2,3,40.0,Matches
422,Asisat Oshoala,FW,ng Nigeria,28,1994,2.7,1,0,0,5,2,0,4,0,2,0,0,0,9,7,9,43.8,Matches
423,Diana Ospina,MF,co Colombia,34,1989,2.5,1,0,0,2,0,0,2,6,6,0,0,0,20,2,2,50.0,Matches
424,Sakina Ouzraoui,MF,ma Morocco,21,2001,4.0,0,0,0,6,5,0,2,2,4,0,0,0,34,3,3,50.0,Matches
425,Salma Paralluelo,FW,es Spain,19,2003,5.1,1,0,0,6,5,0,21,4,6,0,0,0,27,7,10,41.2,Matches
426,Irene Paredes,DF,es Spain,31,1991,7.3,0,0,0,6,4,1,3,12,5,0,0,0,51,16,12,57.1,Matches
427,Heather Payne,"MF,DF",ie Rep. of Ireland,23,2000,1.9,0,0,0,0,3,0,9,0,3,0,0,0,4,1,0,100.0,Matches
428,Toni Payne,MF,ng Nigeria,28,1995,4.2,0,0,0,0,1,0,21,2,2,0,0,0,23,1,4,20.0,Matches
429,Victoria Pelova,"FW,MF",nl Netherlands,24,1999,4.8,0,0,0,4,4,3,6,8,5,0,0,0,50,2,2,50.0,Matches
430,Ria Percival,MF,nz New Zealand,33,1989,2.7,0,0,0,4,5,0,13,2,5,0,0,0,23,8,6,57.1,Matches
431,Inês Pereira,GK,pt Portugal,24,1999,2.0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,100.0,Matches
432,Catalina Pérez,GK,co Colombia,28,1994,4.7,1,0,0,1,2,0,0,0,0,0,1,0,5,2,0,100.0,Matches
433,María Pérez,MF,es Spain,21,2001,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
434,Ève Périsset,DF,fr France,28,1994,2.9,0,0,0,1,1,0,5,3,8,0,0,0,28,2,2,50.0,Matches
435,Betina Petit-Frère,DF,ht Haiti,19,2003,3.0,0,0,0,0,3,0,1,5,1,0,0,0,13,1,2,33.3,Matches
436,Pauline Peyraud-Magnin,GK,fr France,31,1992,5.3,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,100.0,Matches
437,Casey Phair,"FW,DF",kr Korea Republic,15,2007,1.2,0,0,0,3,1,0,0,1,0,0,0,0,4,2,3,40.0,Matches
438,Vast Phiri,DF,zm Zambia,27,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
439,Dayana Pierre-Louis,MF,ht Haiti,19,2003,2.6,1,0,0,1,3,0,0,1,4,0,1,0,27,1,2,33.3,Matches
440,Alexandra Pinell,MF,cr Costa Rica,20,2002,0.2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,33.3,Matches
441,Fátima Pinto,MF,pt Portugal,27,1996,1.0,0,0,0,2,2,0,0,0,2,0,0,0,8,1,3,25.0,Matches
442,Tatiana Pinto,MF,pt Portugal,29,1994,3.0,0,0,0,3,3,0,4,0,6,0,0,0,30,2,11,15.4,Matches
443,Yomira Pinzón,DF,pa Panama,26,1996,3.0,1,0,0,4,3,0,2,4,5,0,1,0,15,4,9,30.8,Matches
444,Seraina Piubel,"MF,FW",ch Switzerland,23,2000,3.7,0,0,0,0,1,1,2,5,8,0,0,0,26,3,8,27.3,Matches
445,Ashleigh Plumptre,DF,ng Nigeria,25,1998,4.2,0,0,0,2,1,1,2,8,2,0,0,0,35,19,8,70.4,Matches
446,Clare Polkinghorne,DF,au Australia,34,1989,2.0,0,0,0,0,2,0,0,3,1,0,0,0,6,5,5,50.0,Matches
447,Alexandra Popp,"FW,MF",de Germany,32,1991,2.9,0,0,0,6,6,1,0,4,4,0,0,0,16,25,7,78.1,Matches
448,Atlanta Primus,"MF,FW",jm Jamaica,26,1997,3.2,1,0,0,4,1,1,0,0,1,0,0,0,24,11,12,47.8,Matches
449,Nichelle Prince,FW,ca Canada,28,1995,0.1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,,Matches
450,Alexia Putellas,MF,es Spain,29,1994,2.4,0,0,0,1,4,0,4,2,0,0,0,0,20,5,1,83.3,Matches
451,Chen Qiaozhu,DF,cn China PR,23,1999,3.0,0,0,0,1,0,0,10,4,4,0,0,0,23,9,10,47.4,Matches
452,Quinley Quezada,MF,ph Philippines,26,1997,2.4,0,0,0,1,1,1,0,4,2,0,0,0,9,1,4,20.0,Matches
453,Quinn,MF,ca Canada,27,1995,2.9,0,0,0,2,1,0,1,6,4,0,0,0,22,7,6,53.8,Matches
454,Louise Quinn,DF,ie Rep. of Ireland,32,1990,3.0,0,0,0,1,0,0,0,1,2,0,0,0,3,10,7,58.8,Matches
455,Lucy Quinn,FW,ie Rep. of Ireland,29,1993,0.8,0,0,0,0,2,0,2,0,0,0,0,0,5,1,1,50.0,Matches
456,Aldrith Quintero,MF,pa Panama,21,2002,2.2,0,0,0,4,8,0,0,4,5,0,0,0,21,4,2,66.7,Matches
457,Rafaelle,DF,br Brazil,31,1991,3.0,0,0,0,1,1,0,0,4,2,0,0,0,32,9,2,81.8,Matches
458,Lebohang Ramalepe,DF,za South Africa,31,1991,4.0,0,0,0,2,3,0,4,11,8,0,0,0,35,0,3,0.0,Matches
459,Mayra Ramírez,FW,co Colombia,24,1999,5.0,0,0,0,8,9,2,12,0,4,0,0,0,18,8,9,47.1,Matches
460,Mónica Ramos,DF,co Colombia,24,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
461,Dominique Randle,"DF,MF",ph Philippines,28,1994,0.6,0,0,0,0,1,0,1,1,1,0,0,0,8,0,1,0.0,Matches
462,Megan Rapinoe,FW,us USA,37,1985,0.9,0,0,0,2,2,0,13,2,0,0,0,0,10,0,0,,Matches
463,Hayley Raso,MF,au Australia,28,1994,6.2,0,0,0,10,13,1,9,0,10,1,0,0,33,3,16,15.8,Matches
464,Felicitas Rauch,DF,de Germany,27,1996,1.0,0,0,0,0,0,0,4,1,3,0,0,0,4,0,1,0.0,Matches
