Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
465,Sílvia Rebelo,DF,pt Portugal,34,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
466,Alba Redondo,FW,es Spain,26,1996,4.4,0,0,0,1,2,3,10,0,3,0,0,0,12,6,2,75.0,Matches
467,Zineb Redouani,DF,ma Morocco,23,2000,4.0,0,0,0,5,2,1,1,7,12,0,0,0,28,1,8,11.1,Matches
468,Guro Reiten,MF,no Norway,28,1994,4.0,0,0,0,4,4,0,13,1,3,1,0,0,13,5,4,55.6,Matches
469,Wendie Renard,DF,fr France,32,1990,4.3,0,0,0,1,3,1,0,6,4,0,0,0,37,20,4,83.3,Matches
470,Gabi Rennie,FW,nz New Zealand,21,2001,0.1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,50.0,Matches
471,Marcela Restrepo,"MF,FW",co Colombia,24,1999,0.2,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,75.0,Matches
472,Géraldine Reuteler,MF,ch Switzerland,24,1999,3.1,0,0,0,2,6,0,6,6,3,0,0,0,34,0,2,0.0,Matches
473,Marion Rey,MF,ch Switzerland,24,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
474,Nadine Riesen,DF,ch Switzerland,23,2000,2.9,0,0,0,3,1,0,3,2,4,0,0,0,13,4,6,40.0,Matches
475,Ali Riley,DF,nz New Zealand,35,1987,3.0,0,0,0,0,1,0,10,2,4,0,0,0,39,5,5,50.0,Matches
476,Indiah-Paige Riley,"MF,FW",nz New Zealand,21,2001,2.0,0,0,0,3,5,0,7,4,7,0,0,0,10,1,5,16.7,Matches
477,Karla Riley,FW,pa Panama,25,1997,0.9,0,0,0,1,0,0,0,1,1,0,0,0,2,2,2,50.0,Matches
478,Jayde Riviere,DF,ca Canada,22,2001,2.3,0,0,0,0,6,0,2,6,9,0,0,0,10,1,1,50.0,Matches
479,Trinity Rodman,FW,us USA,21,2002,2.6,0,0,0,3,4,3,12,5,2,1,0,0,19,4,1,80.0,Matches
480,Misa Rodríguez,GK,es Spain,23,1999,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
481,Raquel Rodríguez,MF,cr Costa Rica,29,1993,1.3,0,0,0,2,3,0,0,2,0,0,0,0,10,2,1,66.7,Matches
482,Yamila Rodríguez,"FW,MF",ar Argentina,25,1998,0.6,0,0,0,1,0,0,3,0,1,0,0,0,5,2,1,66.7,Matches
483,Fridolina Rolfö,"FW,MF",se Sweden,29,1993,5.5,0,0,0,7,2,0,4,2,6,0,0,0,44,15,15,50.0,Matches
484,Sophie Román Haug,FW,no Norway,24,1999,2.8,0,0,0,5,1,0,0,0,0,0,0,0,4,18,10,64.3,Matches
485,Jill Roord,MF,nl Netherlands,26,1997,4.6,0,0,0,3,3,0,1,3,12,0,0,0,28,3,4,42.9,Matches
486,Deanne Rose,FW,ca Canada,24,1999,1.0,0,0,0,2,0,0,2,1,1,0,0,0,6,0,4,0.0,Matches
487,Elin Rubensson,MF,se Sweden,30,1993,6.4,1,0,0,10,3,0,5,14,10,0,0,0,64,6,5,54.5,Matches
488,Zhang Rui,MF,cn China PR,34,1989,1.3,0,1,0,3,0,0,3,3,4,0,0,0,12,4,2,66.7,Matches
489,Alessia Russo,FW,eng England,24,1999,5.8,0,0,0,7,5,3,7,0,3,0,0,0,23,12,19,38.7,Matches
490,Ana Rute,MF,pt Portugal,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
491,Johanna Rytting Kaneryd,"FW,DF",se Sweden,26,1997,5.6,0,0,0,3,1,3,12,5,5,0,0,0,45,2,5,28.6,Matches
492,Adriana Sachs,DF,ar Argentina,29,1993,1.0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,,Matches
493,Eunice Sakala,GK,zm Zambia,21,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
494,María Paula Salas,FW,cr Costa Rica,20,2002,1.8,0,0,0,1,4,0,0,0,0,0,0,0,7,5,17,22.7,Matches
495,Deysiré Salazar,MF,pa Panama,19,2004,1.3,1,0,0,4,1,0,0,3,2,0,0,0,11,0,3,0.0,Matches
496,Gabriela Salgado,MF,za South Africa,25,1998,0.4,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,,Matches
497,Cecilia Salvai,DF,it Italy,29,1993,2.0,0,0,0,0,0,0,1,7,4,0,0,0,24,2,1,66.7,Matches
498,Duda Sampaio,MF,br Brazil,22,2001,0.3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,,Matches
499,Vyan Sampson,MF,jm Jamaica,26,1996,3.9,0,0,0,1,0,0,0,10,3,0,0,0,25,5,5,50.0,Matches
500,Anna Sandberg,DF,se Sweden,20,2003,1.0,0,0,0,4,1,0,3,3,2,0,0,0,9,0,1,0.0,Matches
501,Leicy Santos,"MF,FW",co Colombia,27,1996,4.2,0,0,0,6,3,0,12,3,9,0,0,0,28,4,8,33.3,Matches
502,Paige Satchell,FW,nz New Zealand,25,1998,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,Matches
503,Jaclyn Sawicki,MF,ph Philippines,30,1992,2.8,0,0,0,2,2,0,0,2,2,0,1,0,26,1,1,50.0,Matches
504,Sophie Schmidt,MF,ca Canada,34,1988,1.2,0,0,0,0,2,0,7,3,3,0,0,0,20,10,2,83.3,Matches
505,Olivia Schough,"FW,MF",se Sweden,32,1991,1.4,1,0,0,1,0,1,4,2,1,0,0,0,10,1,0,100.0,Matches
506,Lea Schüller,"FW,MF",de Germany,25,1997,1.6,0,0,0,2,1,2,2,0,0,0,0,0,3,2,3,40.0,Matches
507,Sheika Scott,FW,cr Costa Rica,16,2006,1.3,0,0,0,1,2,1,0,2,0,0,0,0,8,4,1,80.0,Matches
508,Caroline Seger,MF,se Sweden,38,1985,0.8,0,0,0,1,1,0,0,1,0,0,0,0,3,6,2,75.0,Matches
509,Ana Seiça,DF,pt Portugal,22,2001,1.0,0,0,0,1,0,0,3,3,2,0,0,0,13,3,0,100.0,Matches
510,Kiko Seike,"DF,MF",jp Japan,26,1996,0.5,0,0,0,1,0,1,1,0,2,0,0,0,6,0,1,0.0,Matches
511,Jang Sel-gi,DF,kr Korea Republic,29,1994,3.0,0,0,0,2,2,0,5,4,5,0,0,0,26,1,3,25.0,Matches
512,Linda Sembrant,"DF,FW",se Sweden,36,1987,0.3,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,100.0,Matches
513,Shim Seo-yeon,DF,kr Korea Republic,34,1989,3.0,1,0,0,2,0,0,0,3,1,0,1,0,33,4,2,66.7,Matches
514,Lim Seon-joo,DF,kr Korea Republic,32,1990,1.0,1,0,0,2,0,0,0,1,1,0,0,0,2,1,5,16.7,Matches
515,Jermaine Seoposenwe,"FW,MF",za South Africa,29,1993,3.3,0,0,0,0,4,2,2,2,5,0,0,0,24,9,9,50.0,Matches
516,Meryll Serrano,MF,ph Philippines,25,1997,0.3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0.0,Matches
517,Annamaria Serturini,FW,it Italy,25,1998,0.4,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,100.0,Matches
518,Rikke Sevecke,DF,dk Denmark,26,1996,3.7,1,0,0,2,1,0,1,5,5,0,0,0,12,5,3,62.5,Matches
519,Wang Shanshan,DF,cn China PR,33,1990,3.0,0,0,0,1,1,0,0,4,3,0,0,0,24,4,3,57.1,Matches
520,Khadija Shaw,FW,jm Jamaica,26,1997,3.0,2,1,1,5,7,1,4,0,1,0,0,0,16,11,17,39.3,Matches
521,Kailen Sheridan,GK,ca Canada,27,1995,3.0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,100.0,Matches
522,Marissa Sheva,"FW,DF",ie Rep. of Ireland,26,1997,1.1,0,0,0,2,0,0,6,1,4,0,1,0,14,0,3,0.0,Matches
523,Risa Shimizu,"MF,DF",jp Japan,26,1996,4.6,0,0,0,0,1,2,13,4,1,0,0,0,21,2,4,33.3,Matches
524,Wendy Shongwe,FW,za South Africa,20,2003,0.7,0,0,0,1,0,0,2,0,1,0,0,0,4,2,2,50.0,Matches
525,Wang Shuang,"FW,MF",cn China PR,28,1995,1.8,0,0,0,2,1,1,4,1,0,0,0,0,10,1,2,33.3,Matches
526,Diana Silva,FW,pt Portugal,28,1995,1.9,0,0,0,2,2,0,2,0,2,0,0,0,4,1,5,16.7,Matches
527,Dolores Silva,MF,pt Portugal,31,1991,1.7,0,0,0,0,3,0,2,0,3,0,0,0,12,3,4,42.9,Matches
528,Jéssica Silva,FW,pt Portugal,28,1994,2.8,1,0,0,2,2,1,8,0,3,0,0,0,6,3,9,25.0,Matches
529,Kameron Simmonds,"FW,MF",jm Jamaica,19,2003,0.2,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,100.0,Matches
530,Christine Sinclair,"FW,MF",ca Canada,40,1983,1.8,0,0,0,1,3,0,1,0,2,1,0,0,11,3,7,30.0,Matches
531,Olivia Smith,MF,ca Canada,18,2004,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,50.0,Matches
532,Sophia Smith,FW,us USA,22,2000,4.0,1,0,0,5,6,0,16,0,4,0,0,0,28,2,2,50.0,Matches
533,Emma Snerle,FW,dk Denmark,22,2001,0.1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,50.0,Matches
534,Katja Snoeijs,FW,nl Netherlands,26,1996,2.2,0,0,0,6,0,0,0,0,2,0,0,0,10,4,8,33.3,Matches
535,Cho So-hyun,MF,kr Korea Republic,34,1988,2.7,0,0,0,3,3,0,3,8,3,0,0,0,27,9,8,52.9,Matches
536,Ji So-yun,MF,kr Korea Republic,32,1991,3.0,0,0,0,4,11,0,11,2,10,0,0,0,30,5,7,41.7,Matches
537,Havana Solaun,FW,jm Jamaica,30,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
538,Daniela Solera,GK,cr Costa Rica,25,1997,3.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,50.0,Matches
539,Emily Sonnett,MF,us USA,29,1993,1.4,0,0,0,4,2,0,0,1,0,0,0,0,15,1,1,50.0,Matches
540,Coumba Sow,MF,ch Switzerland,28,1994,3.5,0,0,0,9,3,3,1,2,5,1,0,0,23,13,8,61.9,Matches
541,Drew Spence,MF,jm Jamaica,30,1992,4.0,1,0,0,4,6,0,0,8,6,0,0,0,22,6,4,60.0,Matches
542,Rebecca Spencer,GK,jm Jamaica,32,1991,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,33.3,Matches
543,Sherida Spitse,DF,nl Netherlands,33,1990,4.7,0,0,0,2,3,0,24,6,9,0,0,0,29,2,1,66.7,Matches
544,Eliana Stábile,DF,ar Argentina,29,1993,3.0,1,0,0,3,4,0,14,6,5,0,0,0,23,6,4,60.0,Matches
545,Georgia Stanway,MF,eng England,24,1999,6.8,1,0,0,12,6,0,13,1,14,0,0,0,71,4,13,23.5,Matches
546,Malia Steinmetz,MF,nz New Zealand,24,1999,3.0,0,0,0,1,2,0,3,0,3,0,0,0,29,7,9,43.8,Matches
547,Julia Stierli,DF,ch Switzerland,26,1997,4.0,1,0,0,1,3,0,4,1,2,0,0,0,14,5,3,62.5,Matches
548,Rebekah Stott,DF,nz New Zealand,29,1993,2.4,0,0,0,1,4,0,2,2,2,0,0,0,19,5,2,71.4,Matches
549,Ngân Thị Vạn Sự,MF,vn Vietnam,22,2001,0.8,0,0,0,0,3,0,1,2,0,0,0,0,7,0,2,0.0,Matches
550,Hina Sugita,"DF,MF",jp Japan,26,1997,1.6,0,0,0,0,1,1,6,5,1,0,0,0,11,1,0,100.0,Matches
551,Andi Sullivan,MF,us USA,27,1995,4.3,0,0,0,8,4,0,15,12,10,0,0,0,32,8,7,53.3,Matches
552,Chelsea Surpris,DF,ht Haiti,26,1996,1.1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,1,66.7,Matches
553,Allyson Swaby,DF,jm Jamaica,26,1996,4.0,0,0,0,2,1,0,0,2,0,0,0,0,26,7,5,58.3,Matches
554,Chantelle Swaby,DF,jm Jamaica,24,1998,4.0,1,0,0,3,0,0,2,8,4,0,0,0,20,4,2,66.7,Matches
555,Kaylin Swart,GK,za South Africa,28,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0,100.0,Matches
556,Ingrid Syrstad Engen,MF,no Norway,25,1998,2.3,0,0,0,6,3,0,0,2,6,0,0,1,28,7,7,50.0,Matches
557,Karina Sævik,"FW,MF",no Norway,27,1996,0.8,0,0,0,1,0,1,2,0,0,0,0,0,7,1,2,33.3,Matches
558,Anja Sønstevold,DF,no Norway,30,1992,0.5,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,50.0,Matches
559,Nicoline Sørensen,"FW,MF",dk Denmark,25,1997,1.6,0,0,0,0,1,0,17,0,2,0,0,0,16,1,0,100.0,Matches
560,Fatima Tagnaout,MF,ma Morocco,24,1999,3.6,0,0,0,4,2,1,12,0,3,0,0,0,26,0,4,0.0,Matches
561,Hana Takahashi,DF,jp Japan,23,2000,3.0,0,0,0,3,1,0,0,3,3,0,0,0,20,3,11,21.4,Matches
562,Tamires,DF,br Brazil,35,1987,3.0,0,0,0,1,2,2,20,1,5,0,0,0,29,8,6,57.1,Matches
563,Mina Tanaka,FW,jp Japan,29,1994,3.0,0,0,0,6,8,2,5,2,2,0,0,0,16,5,7,41.7,Matches
564,Riley Tanner,"FW,MF",pa Panama,23,1999,2.3,0,0,0,0,7,0,2,0,3,1,0,0,8,4,7,36.4,Matches
565,Martha Tembo,DF,zm Zambia,25,1998,3.0,2,0,0,7,2,0,0,8,3,0,0,0,21,2,2,50.0,Matches
566,Meriame Terchoun,"FW,MF",ch Switzerland,27,1995,0.6,0,0,0,2,2,1,1,0,0,0,0,0,2,0,2,0.0,Matches
567,Gaëlle Thalmann,GK,ch Switzerland,37,1986,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
568,Trần Thị Kim Thanh,GK,vn Vietnam,29,1993,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100.0,Matches
569,Trần Thị Thu Thảo,DF,vn Vietnam,30,1993,3.0,0,0,0,3,1,0,2,9,6,0,0,0,23,1,6,14.3,Matches
570,Kerly Théus,GK,ht Haiti,24,1999,3.0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0.0,Matches
571,Khổng Thị Hằng,GK,vn Vietnam,29,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
572,Chương Thị Kiều,DF,vn Vietnam,27,1995,1.2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0,Matches
573,Hoàng Thị Loan,DF,vn Vietnam,28,1995,2.3,0,0,0,3,3,0,1,0,4,0,1,0,10,0,4,0.0,Matches
574,Thái Thị Thảo,MF,vn Vietnam,28,1995,2.0,0,0,0,4,0,0,2,1,2,0,0,0,15,7,5,58.3,Matches
575,Trần Thị Thu,DF,vn Vietnam,31,1991,3.0,0,0,0,3,0,0,1,9,2,0,0,0,10,3,5,37.5,Matches
576,Dương Thị Vân,MF,vn Vietnam,28,1994,1.7,1,0,0,1,4,0,0,6,3,0,0,0,14,1,4,20.0,Matches
577,Alyssa Thompson,FW,us USA,18,2004,0.2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
578,Janni Thomsen,"DF,FW",dk Denmark,23,2000,3.9,1,0,0,6,2,0,11,5,2,0,0,0,24,7,6,53.8,Matches
579,Lương Thị Thu Thương,DF,vn Vietnam,23,2000,1.8,0,0,0,2,0,0,0,2,2,0,0,0,6,0,0,,Matches
580,Nguyễn Thị Bích Thùy,MF,vn Vietnam,29,1994,2.0,0,0,0,1,3,0,5,3,1,0,0,0,16,1,4,20.0,Matches
581,Frederikke Thøgersen,FW,dk Denmark,27,1995,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
582,Sandie Toletti,MF,fr France,27,1995,3.4,1,0,0,7,1,0,3,4,5,0,0,0,30,14,4,77.8,Matches
583,Ella Toone,MF,eng England,23,1999,4.9,0,0,0,5,1,1,1,3,1,0,0,0,22,3,6,33.3,Matches
584,Aïssatou Tounkara,DF,fr France,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
585,Sanne Troelsgaard Nielsen,MF,dk Denmark,34,1988,0.3,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,100.0,Matches
586,Christy Ucheibe,MF,ng Nigeria,22,2000,4.3,0,0,0,8,2,0,5,7,9,0,0,0,36,6,3,66.7,Matches
587,Riko Ueki,FW,jp Japan,23,1999,2.0,1,0,0,4,10,1,0,1,3,2,0,0,8,12,10,54.5,Matches
588,Catalina Usme,"FW,MF",co Colombia,33,1989,5.0,0,0,0,0,4,0,18,3,5,0,0,0,33,4,7,36.4,Matches
589,Emilie Valenciano,MF,cr Costa Rica,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
590,Kiki Van Zanten,MF,jm Jamaica,21,2001,0.5,0,0,0,0,1,1,0,1,1,0,0,0,5,0,2,0.0,Matches
591,Manuela Vanegas,DF,co Colombia,22,2000,4.0,2,0,0,7,3,0,7,9,12,0,0,0,40,15,9,62.5,Matches
592,Amalie Vangsgaard,FW,dk Denmark,26,1996,2.2,0,0,0,3,0,0,5,2,1,0,0,0,11,3,8,27.3,Matches
593,Rosario Vargas,DF,pa Panama,20,2002,0.9,0,0,0,1,0,0,0,1,1,0,0,0,2,1,2,33.3,Matches
594,Katrine Veje,DF,dk Denmark,31,1991,4.0,0,0,0,6,5,0,25,3,3,0,0,0,41,5,1,83.3,Matches
595,Evelyne Viens,FW,ca Canada,26,1997,1.1,1,0,0,1,2,0,0,0,0,0,0,0,2,3,3,50.0,Matches
596,Fabiola Villalobos,DF,cr Costa Rica,25,1998,3.0,0,0,0,2,2,0,0,2,1,0,1,0,16,1,4,20.0,Matches
597,Gloriana Villalobos,"MF,FW",cr Costa Rica,23,1999,2.1,0,0,0,3,5,0,0,1,2,0,0,0,9,1,1,50.0,Matches
598,Cortnee Vine,"MF,DF",au Australia,25,1998,2.8,0,0,0,3,1,0,4,2,8,0,0,0,17,5,6,45.5,Matches
599,Ana Vitória,MF,br Brazil,23,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
600,Keira Walsh,MF,eng England,26,1997,5.7,0,0,0,6,1,0,2,4,7,0,1,0,36,3,4,42.9,Matches
601,Lia Wälti,MF,ch Switzerland,30,1993,3.8,0,0,0,2,6,0,0,3,5,0,0,0,28,5,2,71.4,Matches
602,Solai Washington,"MF,FW",jm Jamaica,17,2005,0.4,0,0,0,2,0,0,1,0,3,0,0,0,5,1,0,100.0,Matches
603,Yao Wei,"DF,MF",cn China PR,25,1997,3.0,0,0,0,0,2,0,2,2,0,0,0,0,22,6,9,40.0,Matches
604,Hannah Wilkinson,FW,nz New Zealand,31,1992,2.8,1,0,0,3,2,4,1,0,1,0,0,0,7,7,12,36.8,Matches
605,Lynn Williams,FW,us USA,30,1993,1.5,0,0,0,2,1,0,8,1,3,0,0,0,7,4,5,44.4,Matches
606,Lynn Wilms,"DF,FW",nl Netherlands,22,2000,0.7,0,0,0,3,0,0,0,0,1,0,0,0,6,0,1,0.0,Matches
607,Mary Wilombe,MF,zm Zambia,25,1997,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0,Matches
608,Tiernny Wiltshire,DF,jm Jamaica,25,1998,3.0,0,0,0,1,3,0,0,3,10,0,0,0,18,4,3,57.1,Matches
609,Zhang Xin,"FW,MF",cn China PR,31,1992,1.1,0,0,0,3,0,0,4,3,1,0,0,0,10,0,0,,Matches
610,Tameka Yallop,MF,au Australia,31,1991,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,Matches
611,Ayaka Yamashita,GK,jp Japan,27,1995,5.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
612,Gu Yasha,"MF,FW",cn China PR,32,1990,0.2,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,,Matches
613,Yoon Young-geul,GK,kr Korea Republic,35,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
614,Lee Young-ju,MF,kr Korea Republic,31,1992,1.0,0,0,0,0,1,0,0,3,3,0,0,0,8,2,7,22.2,Matches
615,Zhu Yu,GK,cn China PR,25,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
616,Choe Yu-ri,"MF,FW",kr Korea Republic,28,1994,2.4,0,0,0,5,2,0,6,3,3,0,0,0,10,10,9,52.6,Matches
617,Shelina Zadorsky,DF,ca Canada,30,1992,0.5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,Matches
618,Katie Zelem,MF,eng England,27,1996,1.0,0,0,0,0,0,0,4,0,2,0,0,0,7,2,1,66.7,Matches
619,Claudia Zornoza,MF,es Spain,32,1990,0.4,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,66.7,Matches